id,year,title,Runtime,Rating,Directors,Writers,Production companies,Genres,Plot
2011,1997,Turbo: A Power Rangers Movie,99,3.6,Shuki Levy-David Winning,Shuki Levy-Shell Danielson-Haim Saban,Twentieth Century Fox-Saban Entertainment-Toei Company,Action-Adventure-Family-Fantasy-Sci-Fi-Thriller,"The legendary Power Rangers must stop the evil space pirate Divatox from releasing the powerful Maligore from his volcanic imprisonment on the island of Muranthias, where only the kindly wizard Lerigot has the key to release him. The hope of victory lies in the Ranger's incredible new Turbo powers and powerful Turbo Zords."
2012,2002,The Importance of Being Earnest,97,6.8,Oliver Parker,Oscar Wilde-Oliver Parker,Miramax-Ealing Studios-Film Council-Newmarket Capital Group-Fragile Films,Comedy-Drama-Romance,"Two young gentlemen living in 1890's England use the same pseudonym (""Ernest"") on the sly, which is fine until they both fall in love with women using that name, which leads to a comedy of mistaken identities..."
2013,2002,Borderline,94,5.3,Evelyn Purcell,David Loucka,ApolloMedia Distribution-Motion Picture Corporation of Europe (MPCE)-Motion Picture Corporation of America (MPCA)-Film Afrika Worldwide,Crime-Thriller,"Psychiatrist Dr. Lila Colleti is divorcing her husband and is devastated when he wins custody of their two little girls, whom he gets largely because Lila's job, being a psychiatrist for the criminally insane at the local prison, is a potentially dangerous one that forces her to keep long, erratic hours. When one of Lila's patients, Ed Baikman, is released into a half-way house, he decides under the delusional influence of his psychosis to help her out by murdering her ex-husband and his girlfriend, and then threatening to tell the cops they'd planned it together when she refuses to become romantically involved with him. Though Lila's lover, police detective Macy Kobacek, stands by her loyally, Baikman does such an ingenious job of implicating Lila in the crime that even Macy begins to have his doubts about Lila's innocence."
2014,2005,5X2,,,,,,,
2015,2002,Talk to Her,112,8.0,Pedro Almodóvar,Pedro Almodóvar,El Deseo-Antena 3 Televisión-Good Machine-Vía Digital,Drama-Mystery-Romance,"After a chance encounter at a theater, two men, Benigno and Marco, meet at a private clinic where Benigno works. Lydia, Marco's girlfriend and a bullfighter by profession, has been gored and is in a coma. It so happens that Benigno is looking after another woman in a coma, Alicia, a young ballet student. The lives of the four characters will flow in all directions, past, present and future, dragging all of them towards an unsuspected destiny."
2016,2002,The Magdalene Sisters,114,7.8,Peter Mullan,Peter Mullan,Scottish Screen-Film Council-Bórd Scannán na hÉireann-Momentum Pictures-PFP Films-Temple Films-Dumfries & Galloway Council-South West Scotland Screen Commission-Scottish Enterprise Dumfries & Galloway-UK Film Council's New Cinema Fund-Element Films-Screen Ireland,Drama,"A thoroughly mind-provoking film about 3 young women who, under tragic circumstances, see themselves cast away to a Magdalene Asylum for young women in 1964. One of many like institutions, the asylums are run like prisons and young girls are forced to do workhouse laundry and hard labor. The asylum, one of many that existed in theocratic Catholic Ireland, is for supposedly 'fallen' women. Here, young girls are imprisoned indefinitely and endure agonizing punishments and a long, harsh working system which leaves them physically drained and mentally damaged. As the girls bond together, it soon becomes clear that the only way out of the Magdalene convent is to escape, but with twisted Sister Bridget running the wing, any chances seem limited..."
2017,1991,The People Under the Stairs,102,6.4,Wes Craven,Wes Craven,Universal Pictures-Alive Films,Comedy-Horror-Mystery-Thriller,"The People Under the Stairs is the story of a young boy (Fool) from the ghetto and takes place on his 13th birthday. In an attempted burglary (along with two others) of the home of his family's evil landlords, he becomes trapped inside their large suburban house and discovers the secret of the ""children"" that the insane brother and sister have been ""rearing"" under the stairs."
2018,2005,Classic Cartoon Favorites: Starring Goofy,,,,,,,
2019,2004,Samurai Champloo,24,8.6,,Shinji Obara-Kristi Reed-Kirk Thornton,Barnum Studio-Flying Dog-Fuji Television Network-Geneon Entertainment-Madhouse-Manglobe-Manglobe-Shimoigusa Champloos-Tokuma Shoten-Tokyo TV Center,Animation-Action-Adventure-Comedy-Drama-Thriller,
2020,1983,The Winds of War,883,8.2,Dan Curtis,Herman Wouk,Jadran Film-Paramount Television,Drama-Romance-War,"In the late 1930s, world politics begin to head in a dangerous direction. In Europe, Germany expands and rearms and proceeds to annex several border countries into the Reich. Meanwhile, Italy attempts to establish a Facist Colonial Empire under Mussolini while the Empire of Japan stands ready for a major war with China. Enter the Henry family, headed by career naval officer Victor ""Pug"" Henry. ""Winds of War"" thus follows the exploits of Pug and his children, all of which are set against the backdrop of world events leading up to the Japanese attack on Pearl Harbor in 1941."
2021,1922,Robin Hood,143,7.5,Allan Dwan,Douglas Fairbanks-Kenneth Davenport-Allan Dwan,Douglas Fairbanks Pictures,Adventure-Family-Romance,"Amid big-budget medieval pageantry, King Richard goes on the Crusades leaving his brother Prince John as regent, who promptly emerges as a cruel, grasping, treacherous tyrant. Apprised of England's peril by message from his lady-love Marian, the dashing Earl of Huntingdon endangers his life and honor by returning to oppose John, but finds himself and his friends outlawed, and Marian apparently dead. Enter Robin Hood, acrobatic champion of the oppressed, laboring to set things right through swash buckling feats and cliffhanging perils!"
2022,1947,Dead Reckoning,100,7.2,John Cromwell,Oliver H.P. Garrett-Steve Fisher-Allen Rivkin,Columbia Pictures,Crime-Drama-Film-Noir-Mystery-Thriller,Rip Murdock and Johnny Darke are en route to Washington when Johnny disappears and then turns up dead. Rip learns that Johnny had been accused of murder and sets out to find out what he can. He falls in love with Coral whose husband Johnny is supposed to have killed.
2023,2000,Boys Briefs 2,,,,,,,
2024,1983,Jane Eyre,239,8.1,Julian Amyes,Alexander Baron-Charlotte Brontë,BBC Pebble Mill-British Broadcasting Corporation,Romance,"The story of Jane Eyre, the plain quakerish governess is told from her childhood until she arrives at Thornfield Hall to tutor the young Adele. She finds herself intrigued by and attracted to Thornfield's owner, the dark, sardonic (natch) Mr. Rochester. But a dread secret resides in Thornfield Hall."
2025,2000,Legend of Speed,,,,,,,
2026,2002,Norah Jones: Live in New Orleans,,,,,,,
2027,1957,Fire Down Below,116,6.1,Robert Parrish,Irwin Shaw-Max Catto,Warwick Film Productions,Adventure-Drama,"Tony and Felix own a tramp boat, and sail around the Caribbean doing odd jobs and drinking a lot. They agree to ferry the beautiful but passportless Irena to another island. They both fall for her, leading to betrayal and a break-up of their partnership. Tony takes a job on a cargo ship. After a collision he finds himself trapped below deck with time running out (the ship is aflame), and only Felix, whom he hates and has sworn to kill, left to save him."
2028,1991,Poison,85,6.6,Todd Haynes,Jean Genet-Todd Haynes,Bronze Eye Productions-Killer Films-Poison L.P.,Drama-Horror-Romance-Sci-Fi,"Three intercut stories about outsiders, sex and violence. In ""Hero,"" Richie, at age 7, kills his father and flies away. After the event, a documentary in cheesy lurid colors asks what Richie was like and what led up to the shooting. In the black and white ""Horror,"" a scientist isolates the elixir of human sexuality, drinks it, and becomes a festering, contagious murderer; a female colleague who loves him tries to help, to her peril. In ""Homo,"" a prisoner in Fontenal prison is drawn to an inmate whom he knew some years before, at Baton juvenile institute, and whose humiliations he witnessed. This story is told in dim light, except for the bright flashbacks."
2029,2002,Project Viper,85,3.6,Jim Wynorski,Curtis Joseph-David Mason,Cinetel Films-Crystal Sky Worldwide-VCL Communications,Action-Horror-Sci-Fi-Thriller,
2030,2004,Extreme Engineering: Holland's Barriers to the Sea,,,,,,,
2031,2001,La Brassiere,105,6.1,Hing-Ka Chan-Patrick Leung,Hing-Ka Chan-Amy Chin,China Star Entertainment-One Hundred Years of Film Company-Icon Pictures-Balagan Productions,Comedy-Romance,"A Hong Kong bra company breaks tradition by hiring two men, Johnny and Wayne, to design an ""ultimate bra"" in 3 months. The head of the designing department, Lena, objects to their hiring and makes them look like fools. However, things begin to heat up between Johnny and the boss, Samantha, while Wayne and Lena begin to feel an attraction. Nevertheless, the job is at hand to create the Ultimate Bra!"
2032,2004,Star Wars Animated Adventures: Ewoks,75,6.4,,George Lucas,Lucasfilm,Animation-Family-Fantasy-Sci-Fi,"Adult Wicket remembers four memorable adventures from his youth: how he fixed up his great grandfather's battle wagon, the occasion when Latara ran away from the Ewok village to join the traveling Jindas, the time his father Deej fell terrible ill and the story of Kneesa's long lost sister, Asha."
2033,2004,Head in the Clouds,132,6.6,John Duigan,John Duigan,Remstar Productions-Dakota Films-Spice Factory-Movision-Tusk Productions,Drama-Romance-War,"On a rainy night in 1933, the young, rebellious and provocative heiress of a French champagne magnate, Gilda Bessé, storms into the quiet life of the timid Oxford undergraduate, Guy Malyon, taking him by surprise. And before he knows it, Guy is love-smitten, and taken in the Parisian apartment of the now famous photographer, Gilda, living under the same roof with her muse and Spanish political idealist, Mia. However, as Spain gradually succumbs to the Nationalists, Mia and Guy's commitment to the cause of the Spanish Republic will threaten to break up their bohemian and almost idyllic coexistence. In the end, as Adolf Hitler rises into power, can a war-torn Europe separate the three companions forever?"
2034,1998,Rex the Runt,10,6.6,Richard Starzak,Andrew Franks-Richard Starzak-Richard Starzak,Aardman Animations-BBC Bristol,Animation-Comedy,
2035,1971,The Fassbinder Collection: Whity,,,,,,,
2036,2003,'N Sync: PopOdyssey Live,,,,,,,
2037,1985,Fright Night,106,7.1,Tom Holland,Tom Holland,Columbia Pictures-Vistar Films-Columbia Pictures Industries-Delphi IV Productions,Horror-Thriller,"For young Charley Brewster, nothing could be better than an old horror movie late at night. Two men move in next door, and for Charley with his horror movie experience, there can be no doubt that their strange behavior is explained by the fact that they are a vampire and his undead day guardian. The only one who can help him hunt them down is a washed-up actor, Peter Vincent, who hosts Charley's favorite TV show, Fright Night. Vincent doesn't really believe that vampires exist, but does it for the money..."
2038,1957,Jean Renoir: Elena and Her Men,,,,,,,
2039,2003,No Doubt: Rock Steady Live,90,8.1,Sophie Muller,,,Documentary-Music,
2040,1991,Star Trek: The Next Generation: Season 5,,,,,,,
2041,1998,Silent Mobius: Vol. 2,,,,,,Action,
2042,1976,Wodehouse Playhouse: Series 2,,,,,,,
2043,1953,Shane,118,7.7,George Stevens,A.B. Guthrie Jr.-Jack Sher-Jack Schaefer,Paramount Pictures,Drama-Western,"Shane rides into a conflict between cattleman Ryker and a bunch of settlers, like Joe Starrett and his family, whose land Ryker wants. When Shane beats up Ryker's man Chris, Ryker tries to buy him. Then Shane and Joe take on the whole Ryker crew. Ryker sends to Cheyenne for truly evil gunslinger Wilson. Shane must clear out all the guns from the valley."
2044,2002,The Anna Nicole Show: Season 1,,,,,,,
2045,2003,The Blind Swordman: Zatoichi,116,7.6,Takeshi Kitano,Takeshi Kitano-Kan Shimozawa,Asahi National Broadcasting Company-Bandai Visual Company-DENTSU Music And Entertainment-Office Kitano-Saitô Entertainment-TV Asahi-Tokyo FM Broadcasting Co.,Action-Comedy-Crime-Drama-Thriller,"Blind Zatoichi makes his living by gambling and giving massages. But behind his humble facade, Zatoichi is a master swordsman, gifted with lightning-fast draw and strokes of breathtaking precision. Zatoichi wanders into a town run by sinister gangs and a powerful samurai. He's destined for violent showdowns when he stumbles on two beautiful geishas avenging their parents' murder... Duels, wit and a touch of zen! Cult anti-hero Zatoichi is back in a sword-fighting adventure written, directed and starring Takeshi Kitano."
2046,2001,Invincible,133,6.5,Werner Herzog,Werner Herzog,Werner Herzog Filmproduktion-Tatfilm-Little Bird-Jan Bart Productions-Westdeutscher Rundfunk (WDR)-Bayerischer Rundfunk (BR)-Arte-Filmstiftung Nordrhein-Westfalen-Filmförderungsanstalt (FFA)-Beauftragter der Bundesregierung für Angelegenheiten der Kultur und der Medien (BKM)-FilmFour-Fine Line Features-Lithuanian Film Studio,Drama-War,"The film is based on the true story of Zishe Breitbart, a Jewish blacksmith's son from Poland who becomes a sensation in Weimar, Berlin as a mythical strongman. His employer Hanussen dreams of establishing an all-powerful Ministry of the Occult in Hitler's government. Yet as Hitler's hold on power grows more sure, and Berlin erupts in a ferment of anti-Semitism, Zishe must decide how he will use his strength. Plagued by nightmares, he takes counsel from a local rabbi. He becomes convinced that he has been chosen by God to warn his people of the grave danger they face."
2047,1981,Omen III: The Final Conflict,108,5.6,Graham Baker,David Seltzer-Andrew Birkin,Twentieth Century Fox,Horror,"Now come into his full knowledge and power, the Anti-Christ in the body of Damien Thorne is about to strike his final blow. The Christ-child has been born again, on the Angel Isle, Great Britain (Scotland, England & Wales). The plan is simple, kill the Christ child to prevent him from growing up to bring the return of Christ and death of the Anti-Christ."
2048,1966,The Glass Bottom Boat,110,6.5,Frank Tashlin,Everett Freeman,Metro-Goldwyn-Mayer (MGM)-Arwin Productions-Reame Productions-Euterpe,Comedy-Romance,"Jennifer Nelson and Bruce Templeton meet when Bruce reels in her mermaid suit leaving Jennifer bottomless in the waters off Catalina Island. She later discovers that Bruce is the big boss at her work (a research lab). Bruce hires Jennifer to be his biographer - only to try and win her affections. However, there's a problem. Bruce's friend General Wallace Bleeker believes that Jennifer is a Russian spy, and he has her placed under surveillance. Then, when Jennifer catches on...Watch Out!"
2049,2001,Stanley: Hop To It,,,,,,,
2050,2003,Requiem from the Darkness,24,7.4,,Yoshinobu Fujioka-Natsuhiko Kyôgoku-Yû Kanbara,TMS Entertainment,Animation-Horror-Mystery-Thriller,"Tired of writing riddles for children, Yamaoka Momosuke plans on gathering spooky and gruesome stories and publishing them in an anthology called Hyakumonogatari (""One Hundred Tales""). While researching these old myths and legends he comes across a mysterious trio who call themselves the Ongyou. They are detectives who are investigating the legends to reveal their truths...and bring those in the wrong to justice. Each time Momosuke meets the Ongyou he must face horrible truths and battle with his morals, but he's seeing things he shouldn't be seeing."
2051,1984,Tightrope,114,6.3,Richard Tuggle,Richard Tuggle,The Malpaso Company-Warner Bros.,Crime-Mystery-Thriller,"Wes Block is a detective who's put on the case of a serial killer whose victims are young and pretty women, that he rapes and murders. The killings are getting personal when the killer chooses victims who are acquaintances of Block. Even his daughters are threatened."
2052,2001,Darrin's Dance Grooves,,5.5,,,,Documentary,
2053,1998,Ground Control,93,5.7,Richard Howard,Talaat Captan-Robert Moreland-Mark Shepherd,Green Communications-Hard Work Productions,Action-Adventure-Drama-Thriller,"Chicago air traffic controller Jack Harris is a wreck with guilt nightmares after a major airplane crash that killed all 174 aboard. He gives up the job and designs air traffic control games in Phoenix. Five years later, his ex-colleague T.C. Bryant, also transferred to Phoenix, desperately asks him to help out short-term, given desperate staff shortage on New Year's Eve with a bad storm predicted. A power outage hits, and the storm has caused their workload to multiply. Colleagues welcome him in very different states of mind but he quickly proves his capabilities, alas then the fatal memories start creeping up again: will his lack of self-confidence cause another drama?"
2054,1989,Nick Knight,92,6.5,Farhad Mann,Barney Cohen-James D. Parriott-James D. Parriott,Barry Weitz Films-Robirdie Pictures-New World Television,Horror,"Detective Nick Knight is investigating a series of murders in which the bodies are found drained of blood - but the most recent one doesn't fit the pattern. Instead it involves the cure that Nick has been searching for for decades, so that he himself can face the light of day. Later remade as the first two episodes of Forever Knight."
2055,1994,Andaz Apna Apna,160,8.2,Rajkumar Santoshi,Rajkumar Santoshi-Rajkumar Santoshi-Rajkumar Santoshi,Vinay Pictures,Comedy-Family-Romance,"Amar and Prem are two rivals who belonging to middle-class families with no scope of future advancement. Both individually, without the knowledge of the other decide to take matters into their hands and find ways to get rich quickly. Chaos and acrimony result when both find each other at loggerheads when both arrive to win the hand of the daughter of multi-millionaire Ram Gopal Bajaj amidst considerable upheavals when Shyam, the twin brother of Ram, decides to do away with Ram and assume his identity and thus take over the estate of the Bajaj family."
2056,2003,Capturing the Friedmans: Bonus Material,,,,,,,
2057,2001,Buffy the Vampire Slayer: Season 6,,,,,,,
2058,2001,Eminem: The Slim Shady Show Uncut,,,,,,,
2059,1966,The Ugly Dachshund,93,6.7,Norman Tokar,Albert Aley-G.B. Stern,Walt Disney Productions,Comedy-Family,"Fran Garrison's all in a tizzy because her prize Dachshund, Danke, is having pups, and she has hopes of one of the pups becoming a champion. But at the vet's, her husband Mark is talked into letting Danke wet nurse a Great Dane pup that's been abandoned by his mother. And Mark wants to keep the Great Dane. But Brutus has this problem: he thinks he's a dachshund and he's too big to be a lapdog. But when Fran ridicules Brutus one too many times, Jim's got a plan to prove to everyone (and Fran) that a great Dane can be far more than just an ugly dachshund."
2060,1972,Fuzz,92,5.5,Richard A. Colla,Evan Hunter-Evan Hunter,Filmways Pictures-Javelin Pictures,Action-Comedy-Crime-Drama-Mystery-Thriller,"Detectives Steve Carella, Meyer Meyer, and Bert Kling are part of the 87th Precinct's team investigating a murder-extortion racket run by a mysterious deaf man. While attempting to investigate and prevent the murders of several high-ranking city officials, they also must keep track of the perpetrators of a string of robberies. Further complicating matters is a rash of arson attacks on homeless men."
2061,1999,Around the World in 80 Days (Animated),,,,,,,
2062,1992,Metallica: A Year and a Half in the Life of Metallica #1,91,8.1,Adam Dubin,,Propaganda Films,Documentary-Music,"This DVD contains many never-seen-before interviews of Metal icons METALLICA, exploring the true lives of these larger-than-life heroes. The footage reveals how the biggest phenomena in the Metal world has managed to keep their feet fixed firmy on the ground regardless of all the massive media attention and millions of fans. Metallica formed in October 1981 and has since over 90 million albums making them one of the most commercially successful heavy metal acts ever! This program is sure to enlighten any Heavy Metal enthusiast, Rock and Roll rebel, or Metallica master!"
2063,2001,National Geographic: Inside the Vatican,50,6.9,John B. Bredar,John B. Bredar,National Geographic Society,Documentary,
2064,2000,Rome: Power & Glory,,,,,,,
2065,2001,I Love Budapest,85,5.8,Ágnes Incze,Ágnes Incze,Duna Televízió-Filmplus,Drama-Romance,"This film is about seduction, bad decisions and a world where things are out of place. What can a young man learn in a place where he does not belong; to which he was lured by others or by his false dreams. Can one keep one's inner harmony in a foreign place, where one cannot live according to one's own standards? Four youths are the protagonists of this film. One couple feels at home in this world; they look nice, want to get rich, drive an expensive car and wear expensive clothes. The other girl wears clumsy shoes, daydreams constantly, and dates a klutzy security guard with torn underwear. Such characters cross our path every day, but we pass them unaware. We know they are born losers. But now they are the protagonists and we have to pay attention to them. A modern tale, emotional and ironic, today in Budapest in the year 2000."
2066,2004,411VM Skateboarding: Issue 61,,8.0,,,411 Productions,Documentary,
2067,1987,Wiseguy: Season 1: Part 1,,,,,,,
2068,1994,Gargoyles: Season 1,,,,,,,
2069,1997,Super Speedway: IMAX,50,7.2,Stephen Low,Alexander Low,Openwheel Productions,Documentary-Action-Sport,"We follow the Newman-Haas (Andretti) racing team through the process of building, testing, and racing for a season. This includes extensive race speed on-track footage, including some pre-race footage with a full squad of cars. From time to time, we check in with a small shop building/restoring one of the first roadsters Mario Andretti raced; the finale includes him taking it for a spin."
2070,2000,Sword For Truth,,,,,,,
2071,1998,Ballistic Kiss,92,5.6,Donnie Yen,Bey Logan-Donnie Yen,Bullet Films,Action-Crime-Drama-Thriller,"Donnie Yen directs and stars in this stylish thriller as Cat, a hit man who has entered into a kind of mid-life crisis. Prone to contemplating life in between hits. Cat seems to vacillate between throwing himself into his work and running away to Australia. However, his life gets more complicated when he falls in love with a beautiful policewoman."
2072,1989,K-9,101,6.0,Rod Daniel,Steven Siegel-Scott Myers,Gordon Company-Universal Pictures,Action-Comedy-Crime,"The extravagant cop Michael Dooley needs some help to fight a drug dealer who has tried to kill him. A ""friend"" gives him a dog named Jerry Lee, who has been trained to smell drugs. With his help, Dooley sets out to put his enemy behind the bars, but Jerry Lee has a personality of his own and works only when he wants to. On the other hand, the dog is quite good at destroying Dooley's car, house and sex-life..."
2073,1975,Two's Company: Series 1,,,,,,,
2074,1998,Babylon 5: The River of Souls,94,6.6,Janet Greek,J. Michael Straczynski-J. Michael Straczynski,Babylonian Productions-TNT,Action-Adventure-Drama-Sci-Fi,"Captain Lochley now has solid proof that Garibaldi is a disaster magnet: when he comes to the station to meet with one of his new company's subordinates, she's being sued by the owner of an illegal virtual reality ""holo-brothel"" and besieged by Soul Hunters looking for one of their soul vessels, this one containing the souls of the long-lost Ralga alien species."
2075,1982,Lucio Fulci: The New York Ripper,,,,,,,
2076,2002,The Saddle Club: Adventures at Pine Hollow,85,8.2,Steve Mann-Chris Martin-Jones-Peter Sharp,Annie Beach-Bonnie Bryant-Sarah Dodd,Crawfords Australia-Protocol Entertainment,Family,
2077,1999,This Is My Father,,,,,,,
2078,2002,Half Past Dead,98,4.6,Don Michael Paul,Don Michael Paul,Screen Gems-Franchise Pictures-Half Dead Productions Inc.-Modern Media Filmproduktion,Action-Crime-Thriller,A criminal mastermind has set in motion a plan to infiltrate a high tech prison in order to persuade a death row inmate to reveal the whereabouts of $200 million worth of gold. It's up to an undercover FBI agent to stop him before it's too late.
2079,1987,Family Viewing,86,6.7,Atom Egoyan,Atom Egoyan,Canada Council for the Arts-Ego Film Arts-Ontario Arts Council-Ontario Film Development Corporation,Drama,"Van's father, Stan, is fond of video, always taping scenes of daily family life. But he does not take care of Van's grandmother, Armen. Although he could afford having her at home, she is spending her days watching TV in an old people's home. Van often visits her. He meets Aline, whose mother is in the next bed. Van wants to get his grandma out of the old people's home. Aline will help. Actually, Van, whose mother left, years ago, is looking for a real family life."
2080,2001,Holiday in the Sun,87,5.2,Steve Purcell,Brent Goldberg-David Wagner,Dualstar Entertainment Group-Dualstar Productions-Tapestry Films,Comedy-Crime-Family-Romance,"CEO Harrison Stewart treats his family to a holiday on the Bahamas in a Mayan theme luxury resort, with his devoted workaholic executive Ziggy Grayson and his brilliant but shy son Griffen, who is secretly smitten with Madison Stewart. Hearing she has a crush on simpleton beach hunk Chad, Griffen sweetly accepts to be his Cyrano, which actually ends up proving their incompatibility. Meanwhile her twin sister Madison enjoys an affair with sea-life keeper Jordan Landers, but spoiled silver spoon Brianna wants him too and sabotages them. When Jordan is blamed for allegedly fencing stolen antiquities, Griffen and the twins dodge their meanwhile suspicious parents to find and expose the real culprit."
2081,1997,Lewis and Clark: Great Journey West: Special Edition (Standard Version),,,,,,,
2082,1998,Postmortem,105,5.4,Albert Pyun,John Lowry Lamb-Robert McDonnell,Filmwerks-Imperial Entertainment,Thriller,
2083,1955,Blood Alley,110,6.3,William A. Wellman-John Wayne,Albert Sidney Fleischman-Albert Sidney Fleischman,Warner Bros.-Batjac Productions,Action-Adventure,"A merchant marine captain, rescued from the Chinese Communists by local villagers, is ""shanghaied"" into transporting the whole village to Hong Kong on an ancient paddle steamer."
2084,2000,Healing Hearts,107,6.1,Tak-Hei Tang,Tak-Hei Tang,B.O.B. and Partners-Star East,Drama-Romance,
2085,1980,Taxi: Season 3,,,,,,,
2086,2000,Endless Summer Revisited,70,6.8,Dana Brown,Dana Brown,Monterey Media,Documentary,"A documentary mostly edited together from unused footage from The Endless Summer and The Endless Summer II, this documentary gives further insight into the making and success of the original classic surf documentary. It is written, produced and directed by Dana Brown, son of the director of the first two films, Bruce Brown (who executive produced this film). This film likely will appeal only to hardcore fans of the Endless Summer films, but it does feature more of the gorgeous cinematography for which the earlier films are famous."
2087,1998,Pete's Meteor,104,4.7,Joe O'Byrne,Joe O'Byrne,Capella International-Kalkaska Productions-Paradox Pictures-KC Medien-Irish Screen-Screen Ireland-MEDIA-Irish Film Industry Investment Incentives,Crime-Drama,"Micky is a tough, loudmouth but lovable 12 year old who lives with his younger brother and sister at his grandmother's house. One day, a meteorite lands in his backyard and the kids believe that it was sent down to them by their dead parents (who they believe live up in the stars). The government ships away the rock and sends it to the local university. In the children's efforts to retrieve the meteor they believe is theirs, they meet a dorky scientist who finds a place in his heart for the kids. Meanwhile, Micky's parent's best friend, a drug addict (who had promised the parents to take care of the kids) owes drug dealers money and eventually has to hide out after barely escaping a hit."
