id,year,title,Runtime,Rating,Directors,Writers,Production companies,Genres
12047,2000,Mission: Impossible II,123,6.1,John Woo,Bruce Geller-Ronald D. Moore-Brannon Braga,Paramount Pictures-Cruise/Wagner Productions-Munich Film Partners & Company (MFP) MI2 Productions,Action-Adventure-Thriller
12048,1999,Timegate: Tales of the Saddle Tramps,79,3.9,Dan Golden,Louise Dunkirk,Surrender Cinema-Twilight Movies,Sci-Fi-Western
12049,1995,John Denver: Wildlife Concert,110,8.4,Jeb Brien,,The Element Foundation,Documentary-Music
12050,2001,The Master Swordsman,200,6.1,,,,
12051,1975,The French Connection II,119,6.8,John Frankenheimer,Alexander Jacobs-Robert Dillon-Laurie Dillon,Twentieth Century Fox,Action-Crime-Drama-Thriller
12052,1996,Primal Fear,129,7.7,Gregory Hoblit,William Diehl-Steve Shagan-Ann Biderman,Paramount Pictures-Rysher Entertainment,Crime-Drama-Mystery-Thriller
12053,1993,Dracula Rising,85,3.1,Fred Gallo,Rodman Flender-Daniella Purcell,New Horizons Picture,Horror-Romance
12054,1988,Child's Play,87,6.6,Tom Holland,Don Mancini-Don Mancini-John Lafia,United Artists,Horror-Thriller
12055,1998,Chosen One: Legend of the Raven,88,2.7,Lawrence Lanoff,Sam Rappaport-Khara Bromiley,Discovery Entertainment,Action-Fantasy
12056,2004,Twisted,97,5.3,Philip Kaufman,Sarah Thorp,Paramount Pictures-Intertainment AG-Kopelson Entertainment-Blackout Productions Inc.-Harlequin Pictures,Crime-Drama-Mystery-Thriller
12057,2001,American Desi,100,6.7,Piyush Dinker Pandya,Piyush Dinker Pandya,American Desi Productions-Blue Rock Entertainment,Comedy-Drama-Romance
12058,2001,Being Mick: You Would If You Could,,,,,,
12059,2005,Unscripted: The Complete Series,,,,,,
12060,2004,Bionicle 2: Legends of Metru Nui,75,6.1,David Molina-Terry Shakespeare,Henry Gilroy-Bob Thompson-Henry Gilroy,Creative Capers Entertainment-LEGO-Miramax,Animation-Action-Adventure-Fantasy
12061,1936,The Petrified Forest,82,7.6,Archie Mayo,Charles Kenyon-Delmer Daves-Robert E. Sherwood,Warner Bros.,Drama-Film-Noir-Romance-Thriller
12062,2002,The Wiggles: Wiggly Safari,52,7.4,Gary Matheson,Murray Cook-Jeff Fatt-Anthony Field,Lyrick Studios Video,Family-Music
12063,2003,Air Marshal,90,2.7,Alain Jakubowicz,Aaron Pope-Aaron Pope-James Becket,Martien Holdings A.V.V.-Millennium Films,Action-Adventure-Drama-Thriller
12064,1963,This Sporting Life,134,7.8,Lindsay Anderson,David Storey-David Storey,Independent Artists-Julian Wintle/Leslie Parkyn Productions,Drama-Sport
12065,1994,Hercules: The Legendary Journeys: Season 1,91,6.6,Doug Lefler,Christian Williams-Barry Pullman-Andrew Dettmann,Renaissance Pictures,Action-Adventure-Fantasy
12066,1988,Roseanne: Season 1,,,,,,
12067,1994,Sugar Hill,,,,,,
12068,2005,Funny Ha Ha,,,,,,
12069,1998,Lexx: Series 2,,,,,,
12070,2000,24 Hours in London,90,3.6,Alexander Finbow,Alexander Finbow,City Heat Productions-One World Films,Crime-Thriller
12071,1995,Mallrats,94,7.2,Kevin Smith,Kevin Smith,Gramercy Pictures (I)-Alphaville Films-View Askew Productions,Comedy-Romance
12072,1987,Project X,108,6.1,Jonathan Kaplan,Lawrence Lasker-Stanley Weiser-Stanley Weiser,Amercent Films-American Entertainment Partners L.P.-Parkes/Lasker productions,Comedy-Drama-Sci-Fi-Thriller
12073,2001,Rain,94,7.8,Majid Majidi,Majid Majidi-Fouad Nahas,Fouad Nahas,Drama-Romance
12074,1965,The Sound of Music,172,8.0,Robert Wise,George Hurdalek-Howard Lindsay-Russel Crouse,Robert Wise Productions-Argyle Enterprises,Biography-Drama-Family-Musical-Romance
12075,1999,Chris Rock: Bigger & Blacker,65,8.0,Keith Truesdell,Chris Rock,CR Enterprises-3 Arts Entertainment-Production Partners-Home Box Office,Comedy-Documentary
12076,1989,Blaze,120,5.9,Ron Shelton,Blaze Starr-Huey Perry-Ron Shelton,Touchstone Pictures-Silver Screen Partners IV-A&M Films,Biography-Drama
12077,1994,Blown Away,121,6.2,Stephen Hopkins,John Rice-Joe Batteer-Jay Roach,Metro-Goldwyn-Mayer (MGM)-Trilogy Entertainment Group,Action-Crime-Drama-Thriller
12078,2005,Care Bears: Big Wish Movie,75,5.0,Larry Jacobs-Ron Pitts-Mike Fallows,Jeff Schechter,Nelvana,Animation-Comedy-Family-Fantasy-Musical
12079,1991,Project A 2,,,,,,
12080,2004,Josh Groban: Live at the Greek,110,9.1,David Horn,,Thirteen / WNET-Reprise Records-KQED,Music
12081,1987,Neo Tokyo,50,7.2,Yoshiaki Kawajiri-Rintaro-Katsuhiro Ôtomo,Taku Mayumura-Rintaro-Yoshiaki Kawajiri,Project Team Argos-Madhouse-Kadokawa Shoten Publishing Co.-Kadokawa Haruki Jimusho,Animation-Adventure-Fantasy-Horror-Sci-Fi
12082,1974,Lord Peter Wimsey: The Nine Tailors,,8.2,Raymond Menmuir,Dorothy L. Sayers-Anthony Steven,British Broadcasting Corporation,Mystery
12083,2000,Thomas and the Magic Railroad,85,3.9,Britt Allcroft,Britt Allcroft-Britt Allcroft-Wilbert Awdry,Gullane Pictures-Destination Films-Isle of Man Film Commission-Britt Allcroft (Thomas) Ltd.-The Magic Railroad Company,Adventure-Comedy-Drama-Family-Fantasy
12084,2002,Adaptation,115,7.7,Spike Jonze,Susan Orlean-Charlie Kaufman,Beverly Detroit-Clinica Estetico-Good Machine-Intermedia-Magnet Productions-Propaganda Films,Comedy-Drama
12085,1964,The Incredible Mr. Limpet,99,6.5,Arthur Lubin,Jameson Brewer-John C. Rose-Joe DiMona,Warner Bros.,Animation-Comedy-Family-War-Fantasy
12086,1983,Blue Thunder,109,6.4,John Badham,Dan O'Bannon-Don Jakoby-Dean Riesner,Columbia Pictures-Rastar Pictures,Action-Crime-Drama-Sci-Fi-Thriller
12087,1965,Ship of Fools,149,7.2,Stanley Kramer,Katherine Anne Porter-Abby Mann,Stanley Kramer Productions,Drama-Romance-War
12088,2004,National Lampoon's Going the Distance,93,5.6,Mark Griffiths,Eric Goodman-Kelly Senecal-Kelly Senecal,Brightlight Pictures-Chum City,Comedy-Romance
12089,2005,Dragons: Metal Ages: The Movie,,,,,,
12090,2001,Kate & Leopold,118,6.4,James Mangold,Steven Rogers-James Mangold-Steven Rogers,Konrad Pictures-Miramax,Comedy-Fantasy-Romance
12091,1979,Scooby-Doo Goes Hollywood,49,6.3,Ray Patterson,Duane Poole-Dick Robbins,Hanna-Barbera Productions,Animation-Comedy-Family-Musical
12092,1997,Batman & Robin,125,3.7,Joel Schumacher,Bob Kane-Akiva Goldsman,Warner Bros.-PolyGram Filmed Entertainment,Action-Sci-Fi
12093,2001,Spike & Mike's Classic Festival of Animation,,,,,,
12094,2000,Pokemon: The Advanced Master's Guide,,,,,,
12095,1972,Up the Sandbox,97,6.6,Irvin Kershner,Paul Zindel-Anne Richardson Roiphe,Barwood Films-First Artists,Comedy-Drama
12096,2000,State and Main,105,6.8,David Mamet,David Mamet,Filmtown Entertainment-Green/Renzi-El Dorado Pictures,Comedy-Drama
12097,1988,Without a Clue,107,7.0,Thom Eberhardt,Gary Murphy-Larry Strawther,Incorporated Television Company (ITC),Comedy-Crime-Mystery
12098,1975,The Secret Garden,100,6.0,Joseph W. Sarno,Joseph W. Sarno,High Ground Productions,Drama-Romance
12099,1999,Word of Mouth,,,,,,
12100,1992,Prime Suspect 2,203,8.2,John Strickland,Allan Cubitt-Lynda La Plante,Granada Television-WGBH,Crime-Drama-Mystery-Romance-Thriller
12101,1999,Red Dirt,,,,,,
12102,2001,Hedwig and the Angry Inch,95,7.8,John Cameron Mitchell,John Cameron Mitchell-Stephen Trask-John Cameron Mitchell,Killer Films-New Line Cinema,Comedy-Drama-Music-Musical
12103,1955,Alfred Hitchcock Presents: Season 1,25,8.6,,J.W. Aaron-David Alexander-Miriam Allen DeFord,Alfred J. Hitchcock Productions-Shamley Productions-Revue Studios-Universal Television,Crime-Drama-Mystery-Thriller
12104,1997,Hero No. 1,134,6.1,David Dhawan,Rumi Jaffery,Puja Entertainment,Comedy-Musical-Drama
12105,2002,Lupin the 3rd: The Pursuit of Harimao's Treasure,,,,,,
12106,1992,Aladdin: Platinum Edition: Bonus Material,,,,,,
12107,2001,The Merchants of Cool: Frontline,55,8.1,Barak Goodman,Rachel Dretzin,,Documentary
12108,2002,Swindle,93,5.5,K.C. Bascombe,K.C. Bascombe-K.C. Bascombe-Nick Seferian,Faulkner Productions,Action-Crime-Thriller-Drama
12109,1926,Faust,107,8.1,F.W. Murnau,Gerhart Hauptmann-Hans Kyser-Johann Wolfgang von Goethe,Universum Film,Drama-Fantasy-Horror
12110,2001,No Man's Land,98,8.0,Danis Tanovic,Danis Tanovic,"Noé Productions-Fabrica-Man's Films-Counihan Villiers Productions-Studio Maj-Casablanca Film Production-Centre du Cinéma et de l'Audiovisuel de la Fédération Wallonie-Bruxelles-Télédistributeurs Wallons-Slovenian Film Fund-Eurimages-British Screen Finance Ltd.-TPS Cinéma-Multivision-Rai Cinema-Radio Télévision Belge Francophone (RTBF)-Canal + Belgique-Fondazione MonteCinemaVerità Locarno-Direction du Développement et de la Coopération (DDC), Département Fédéral des Affaires Etrangères-The European Co-Production Fund Limited-Foundation Montecinema Verità",Drama-War
12111,1986,G.I. Joe: Season 2: Part 1,,,,,,
12112,1969,Change of Habit,93,6.0,William A. Graham,James Lee-S.S. Schweitzer-Eric Bercovici,National Broadcasting Company-Universal Pictures,Crime-Drama-Music-Romance
12113,1992,The Playboys,117,6.3,Gillies MacKinnon,Shane Connaughton-Kerry Crabbe,Green Umbrella Ltd.-The Samuel Goldwyn Company,Drama-Romance
12114,1995,The Outer Limits: The New Series: Mutation & Transformation,,,,,,
12115,1992,Toys,118,5.0,Barry Levinson,Valerie Curtin-Barry Levinson,Baltimore Pictures-Twentieth Century Fox,Adventure-Comedy-Drama-Family-Fantasy
12116,2005,Hammerhead,92,3.1,Michael Oblowitz,Boaz Davidson-Kenneth M. Badish-Monty Featherstone,Millennium Films-Equity Pictures Medienfonds GmbH & Co. KG II-Active Entertainment-Harbor Productions,Action-Adventure-Comedy-Horror-Sci-Fi-Thriller
12117,2003,Cruise Hawaii & Tahiti,,,,,,
12118,2001,Sleepless,117,6.3,Dario Argento,Dario Argento-Franco Ferrini-Carlo Lucarelli,Medusa Film-Opera Film-Tele+,Horror-Mystery-Thriller
12119,1974,Willie Dynamite,102,6.4,Gilbert Moses,Ron Cutler-Ron Cutler-Joe Keyes Jr.,Generation 70-Universal Pictures-Zanuck/Brown Productions,Crime-Drama
12120,2000,Okinawa Rendez-vous,100,6.1,Gordon Chan,Hing-Ka Chan,China Star Entertainment-One Hundred Years of Film Company-People's Productions Limited,Comedy-Romance
12121,2000,Pretty Devils,,,,,,
12122,1990,The Dragon from Russia,96,5.6,Clarence Yiu-leung Fok,Ella Bo-wah Chan-Ryoichi Ikegami-Kazuo Koike,Cinema City Entertainment,Action
12123,2004,S.I.C.K.,,,,,,
12124,1959,The Mummy,86,6.8,Terence Fisher,Jimmy Sangster,Hammer Films,Adventure-Horror
12125,2001,The Blue Planet: Seas of Life: Open Ocean - The Deep,,,,,,
12126,1992,Hoffa,140,6.6,Danny DeVito,David Mamet,Twentieth Century Fox-Jersey Films,Biography-Crime-Drama
12127,2005,The Girl from Monday,84,5.3,Hal Hartley,Hal Hartley,Possible Films-The Monday Company,Action-Comedy-Sci-Fi
12128,1994,Intersection,98,5.3,Mark Rydell,David Rayfiel-Marshall Brickman-Paul Guimard,Paramount Pictures,Drama-Romance
12129,1930,Bat Whispers,83,6.5,Roland West,Mary Roberts Rinehart-Avery Hopwood-Roland West,Joseph M. Schenck Productions-Art Cinema Corporation,Crime-Thriller-Horror-Drama-Mystery-Comedy
12130,1977,Eraserhead,89,7.4,David Lynch,David Lynch,American Film Institute-Libra Films,Horror
12131,1973,A Doll's House,105,6.5,Patrick Garland,Henrik Ibsen-Christopher Hampton-Christopher Hampton,Elkins Productions International Corporation-Freeward Films-Life Investors International-Elkins Entertainment,Drama
12132,2002,Unconditional Love,124,6.9,P.J. Hogan,Jocelyn Moorhouse-P.J. Hogan,Avery Pix,Comedy-Drama-Musical-Romance-Thriller
12133,1987,Redneck Zombies,,,,,,
12134,1995,MADtv: Season 1,,,,,,
12135,1974,Happy Days: Season 1,,,,,,
12136,2001,The Fourth Angel,96,5.4,John Irvin,Robin Hunter-Allan Scott,New Legend Media-Norstar Entertainment-Rafford Films-Sky Pictures,Thriller-Drama-Action
12137,1977,Islands in the Stream,104,6.7,Franklin J. Schaffner,Ernest Hemingway-Denne Bart Petitclerc,Paramount Pictures-Zeeuwse Maatschappij N.V.,Drama
12138,1974,Good Times: Season 1,,,,,,
12139,1937,A Day at the Races,111,7.7,Sam Wood,Robert Pirosh-George Seaton-George Oppenheimer,Metro-Goldwyn-Mayer (MGM),Comedy-Musical-Sport
12140,1983,48 Hrs.,,,,,,
12141,1988,Casual Sex?,97,4.9,Geneviève Robert,Wendy Goldman-Judy Toll,Jascat-Universal Pictures,Comedy
12142,1995,Wife,,,,,,
12143,1998,Escape Velocity,,,Matt Burch,Peter Cartwright,,Sci-Fi
12144,1975,The Terrorists,89,5.6,Casper Wrede,Paul Wheeler,Lion International-Twentieth Century Fox-Rawley Film & Theatre,Crime-Drama-Thriller
12145,1981,Absence of Malice,116,6.9,Sydney Pollack,Kurt Luedtke-David Rayfiel,Columbia Pictures-Mirage Enterprises,Drama-Romance-Thriller
12146,1983,Dark Habits,114,6.6,Pedro Almodóvar,Pedro Almodóvar,Tesauro,Comedy-Drama
12147,1954,It Should Happen to You,86,7.2,George Cukor,Garson Kanin,Columbia Pictures,Comedy-Romance
12148,1919,Felix!: Felix the Cat 1919-1930,,,,,,
12149,1997,Speed 2: Cruise Control,121,3.8,Jan de Bont,Graham Yost-Jan de Bont-Randall McCormick,Blue Tulip Productions-Twentieth Century Fox,Action-Adventure-Crime-Romance-Thriller
12150,1991,Robin Hood: Prince of Thieves: Bonus Material,,,,,,
12151,1973,Five on the Black Hand Side,96,6.5,Oscar Williams,Charlie L. Russell-Charlie L. Russell,Five Hand Company,Comedy
12152,1991,Year of the Gun,111,5.7,John Frankenheimer,Michael Mewshaw-David Ambrose,Initial Films-J&M Entertainment-Shomedia,Action-Romance-Thriller
12153,1981,Les Uns et Les Autres,184,7.4,Claude Lelouch,Claude Lelouch,Les Films 13-TF1,Drama-Music
12154,1994,Backbeat,100,6.7,Iain Softley,Iain Softley-Michael Thomas-Stephen Ward,Channel Four Films-Fortbeam-PolyGram Filmed Entertainment-Royal-Scala Productions-Wildgaze Films,Biography-Drama-Music-Romance
12155,2004,Spider-Man 2,127,7.3,Sam Raimi,Stan Lee-Steve Ditko-Alfred Gough,Columbia Pictures-Marvel Enterprises-Laura Ziskin Productions,Action-Adventure-Sci-Fi
12156,1931,Tabu: A Story of the South Seas,86,7.6,F.W. Murnau,F.W. Murnau-Robert J. Flaherty-Edgar G. Ulmer,Murnau-Flaherty Productions,Drama-Romance-Adventure
12157,2004,G3: Live in Denver,112,8.5,A. Karim Karmi,,Automatic Productions,Documentary
12158,1995,Last of the Dogmen,118,7.0,Tab Murphy,Tab Murphy,Carolco Pictures-Chargeurs-Last of the Dogmen-Savoy Pictures,Adventure-Western
12159,2003,The Tuskegee Airmen: They Fought Two Wars,,,,,,
12160,1993,Cliffhanger,113,6.4,Renny Harlin,John Long-Michael France-Michael France,Carolco Pictures-Canal+-Pioneer-RCS Video-Cliffhanger Productions,Action-Adventure-Thriller
12161,2003,Big Fish,125,8.0,Tim Burton,Daniel Wallace-John August,Columbia Pictures-Jinks/Cohen Company-The Zanuck Company-Tim Burton Productions,Adventure-Drama-Fantasy-Romance
12162,2002,Close to Leo,88,6.4,Christophe Honoré,Diastème-Christophe Honoré,Image et Compagnie-M6 Métropole Télévision,Drama-Romance
12163,1995,Funny Bones,128,7.0,Peter Chelsom,Peter Chelsom-Peter Flannery,Hollywood Pictures-Isobel Griffiths Limited,Comedy-Drama
12164,1987,Dead of Winter,100,6.3,Arthur Penn,Marc Shmuger-Mark Malone-Anthony Gilbert,Metro-Goldwyn-Mayer,Drama-Horror-Thriller
12165,2002,Amy's O,,,,,,
12166,1936,As You Like It,96,6.0,Paul Czinner,J.M. Barrie-Robert Cullen-Carl Mayer,Inter-Allied,Drama-Comedy-Romance
12167,2000,La Captive,118,5.9,Chantal Akerman,Chantal Akerman-Eric De Kuyper-Marcel Proust,Gemini Films-Arte France Cinéma-Paradise Films-Canal+-Centre National de la Cinématographie (CNC)-Gimages 3,Drama-Music-Romance
12168,2001,Days,83,5.2,Laura Muscardin,Laura Muscardin-David Osorio-Monica Rametta,Ministero per i Beni e le Attività Culturali (MiBAC)-Movie Factory-Tele+,Drama
12169,2000,Duets,112,6.0,Bruce Paltrow,John Byrum,Hollywood Pictures-Seven Arts Pictures-Beacon Communications-Karaoke Productions,Comedy-Drama-Music-Romance
12170,1982,Duel to the Death,,,,,,
12171,2000,Battlefield Earth,118,2.5,Roger Christian,Corey Mandell-J.D. Shapiro-L. Ron Hubbard,Warner Bros.-Morgan Creek Entertainment-Franchise Pictures-JTP Films-Battlefield Productions-Mel's Cite du Cinema,Action-Adventure-Sci-Fi
12172,1998,Pleasantville,124,7.5,Gary Ross,Gary Ross,New Line Cinema-Larger Than Life Productions,Comedy-Drama-Fantasy
12173,1932,The Mummy,73,7.2,Karl Freund,Nina Wilcox Putnam-Richard Schayer-John L. Balderston,Universal Pictures,Fantasy-Horror
12174,1971,The Hired Hand,90,7.0,Peter Fonda,Alan Sharp,Pando Company Inc.-Universal Pictures,Drama-Western
12175,1995,Undressed for Success,,,,,,
12176,1999,The Fall and Rise of Sherlock Holmes,22,7.4,Robert Brousseau-Scott Heming,Arthur Conan Doyle-Phil Harnage-Sandy Ross,Scottish Television Enterprises-DIC Entertainment-DIC Entertainment,Animation-Action-Adventure-Crime-Mystery-Sci-Fi
12177,1998,Secrets of War: Intelligence,,,,,,
12178,2000,Midsomer Murders: Beyond the Grave,104,7.6,Moira Armstrong,Douglas Watkinson-Caroline Graham,Bentley Productions,Crime-Drama-Mystery
12179,1993,Zapped Again!,,,,,,Comedy-Drama-Horror-Mystery-Sci-Fi-Thriller
12180,1964,The Outer Limits: The Original Series: Season 2,,,,,,
12181,1995,In the Mouth of Madness,,,Don DuPree,,Buena Vista Television,Talk-Show
12182,1942,Random Harvest,126,8.0,Mervyn LeRoy,Claudine West-George Froeschel-Arthur Wimperis,Metro-Goldwyn-Mayer (MGM),Drama-Romance
12183,1971,Donkey Skin,,,,,,
12184,2002,Sex and the City: Season 5,,,,,,
12185,2002,The Nest,107,6.8,Florent-Emilio Siri,Florent-Emilio Siri-Jean-François Tarnowski,Cinémane Films-Carrere Group D.A.-Pathé Image Production-France 2 Cinéma-Embellie Productions-Pendrake Films-Cofimage 12-Gimages 4-Natexis Banques Populaires Images 2-Canal+-Procirep,Action-Crime-Thriller
12186,1971,The French Connection,104,7.8,William Friedkin,Ernest Tidyman-Robin Moore,Philip D'Antoni Productions-Schine-Moore Productions-D'Antoni Productions,Action-Crime-Drama-Thriller
12187,1963,Fright Night Horror Classics: Vol. 2: Dementia 13,,,,,,
12188,1993,The Age of Innocence,139,7.2,Martin Scorsese,Edith Wharton-Jay Cocks-Martin Scorsese,Columbia Pictures-Cappa Production,Drama-Romance
12189,1999,Spanish Judges,,,,,,
12190,1955,Lola Montes,116,7.4,Max Ophüls,Cécil Saint-Laurent-Max Ophüls-Annette Wademant,Gamma Film-Gamma Film-Florida Films-Union-Film,Biography-Drama-Romance
12191,1996,The Fan,116,5.8,Tony Scott,Peter Abrahams-Phoef Sutton,TriStar Pictures-Mandalay Entertainment-Scott Free Productions,Action-Drama-Sport-Thriller
12192,2004,Broadway's Lost Treasures II,90,8.0,Chris Cohen,Steven B. Hecht-Hildy Parks,AcornMedia-KQED-Public Broadcasting Service,Music
12193,2002,The Fabulous '50s,,,,,,
12194,1997,Smilla's Sense of Snow,121,6.4,Bille August,Peter Høeg-Ann Biderman,Bavaria Film-Constantin Film-Det Danske Filminstitut-Greenland Film Production-Nordisk Film- & TV-Fond-Smilla Film A-S,Action-Drama-Mystery-Sci-Fi-Thriller
12195,1988,The Accused,111,7.2,Jonathan Kaplan,Tom Topor,Paramount Pictures-Jaffe-Lansing-Paramount Pictures,Crime-Drama
12196,2002,OT: Our Town,76,7.3,Scott Hamilton Kennedy,Thornton Wilder,A Stressbox Inc.-OT Films-Pellington Films,Documentary
12197,2003,Proteus,97,6.5,John Greyson-Jack Lewis,John Greyson-Jack Lewis-Jack Lewis,Pluck Productions,Drama-Romance
12198,2003,100 Years of the New York Yankees,,,,,,
12199,1998,Secrets of War: Nazi Warfare,,,,,,
12200,1947,Song of the Thin Man,86,7.0,Edward Buzzell,Steve Fisher-Nat Perrin-James O'Hanlon,Metro-Goldwyn-Mayer (MGM),Comedy-Crime-Musical-Mystery
12201,2002,The Healer,118,6.6,Agnieszka Holland,Agnieszka Holland-Roman Gren-Arlene Sarner,"Art Oko Film-Das Werk-The Film Works-Zespol Filmowy ""Tor""-Canal+ Polska-Chum Television-Das Werk Digitale Bildbearbeitungs-First Look International-Minister of Culture of the Republic of Poland-Nova Scotia Film Development Corporation-Super Écran-Telewizja Polska-The Movie Network-Téléfilm Canada-imX Communications",Drama-Romance
12202,1999,Ray Charles in Concert,,,,,,
12203,2004,WWE: No Mercy 2004,180,6.4,Kevin Dunn,,World Wrestling Entertainment,Action-Sport
12204,1940,Boris Karloff: The Ape / British Intelligence,,,,,,
12205,2000,Running Mates,90,5.8,Ron Lagomarsino,Claudia Salter,Turner Films Inc.,Comedy-Drama
12206,1994,Clerks: First Cut (Not Theatrical Version),,,,,,
12207,1998,Knock Off,91,4.8,Hark Tsui,Steven E. de Souza,Knock Films A.V.V.-MDP Worldwide-Film Workshop-Val D'Oro,Action-Crime-Thriller
12208,2004,Mouse,44,8.7,,David Shore-Sara Hess-Pam Davis,Heel & Toe Films-Shore Z Productions-Bad Hat Harry Productions-Moratim Produktions-NBC Universal Television-Universal Media Studios,Drama-Mystery
12209,2003,Quick Toning: Abs,,,,,,
12210,1975,Grey Gardens,94,7.7,Ellen Hovde-Albert Maysles-David Maysles,,Portrait Films,Documentary-Comedy-Drama
12211,2005,SpongeBob SquarePants: Fear of a Krabby Patty,12,8.2,Vincent Waller,Stephen Hillenburg-Paul Tibbitt-C.H. Greenblatt,United Plankton Pictures,Animation-Comedy-Family-Fantasy
12212,1987,Dolls,77,6.4,Stuart Gordon,Ed Naha,Empire Pictures-Taryn Productions Inc.,Horror
12213,1962,The 300 Spartans,114,6.7,Rudolph Maté,George St. George-Ugo Liberatore-Remigio Del Grosso,Twentieth Century Fox,Adventure-Drama-History-War
