id,year,title,Runtime,Rating,Directors,Writers,Production companies,Genres,Plot
14013,1963.0,Tom Jones,129,6.6,Tony Richardson,John Osborne-Henry Fielding,Woodfall Film Productions,Adventure-Comedy-History,"In eighteenth-century England, ""first cousins"" Tom Jones and Master Blifil grew up together in privilege in the western countryside, but could not be more different in nature. Tom, the bastard son of one of Squire Allworthy's servants Jenny Jones and the local barber Partridge, was raised by virtuous Allworthy as his own after he sent Jenny away. Tom is randy, chasing anything in a skirt, he's having a sexual relationship on the sly with Molly Seagrim, the peasant daughter of Allworthy's gamekeeper. Tom is nonetheless kind-hearted and good-natured, he who is willing to defend that and those in which he believes. Blifil, on the other hand, is dour, and although outwardly pious, is cold-hearted and vengeful. Despite his randiness, Tom eventually falls in love with Sophie Western, who has just returned to the area after a few years abroad. Despite Sophie's love for Tom, Squire Western and his spinster sister would rather see Sophie marry Blifil rather than a bastard, who Western nonetheless liked before he knew that Tom liked Sophie. Based on half truths, Tom, out of circumstance, is forced to leave his home and strike out on his own in London. While Sophie sneaks away in search of Tom, and Squire Western and Miss Western go off in search of Sophie, Tom gets into one misadventure after another on his way to London, some involving his randiness, and some which will reveal certain aspects of his life previously unknown to him. Through it all, Sophie, deep down, is never far from his mind, even when his life is in danger."
14014,2002.0,The Locket,100,7.5,Karen Arthur,Richard Paul Evans-Ron Raley,Hallmark Hall of Fame Productions,Drama,"A young man taking care of his dying mother is distraught and grief-stricken when she finally passes away. On the advice of his doctor, he takes a job in an upscale nursing home, and is assigned to take care of an elderly woman named Esther. At first Esther is a bitter, angry woman and pushes him away, but as she gradually warms to him, he discovers that he and Esther have much more in common than he imagined."
14015,2000.0,Kairee,,,,,,,
14016,1992.0,Housesitter,102,6.1,Frank Oz,Mark Stein-Brian Grazer-Mark Stein,Imagine Entertainment-Imagine Films Entertainment-Universal Pictures,Comedy-Romance,"Davis builds his dream house and presents it to Becky with a proposal of marriage. She turns him down. He leaves the house, still with a ribbon running around it and returns to the city, terribly smitten with Becky. He meets Gwen who has an interesting relationship with the truth. He spends the night with her, but leaves while she is sleeping. She takes his description of the house, searches it out, and moves in. The residents of Davis' home town become curious and she invents a marriage, a courtship, and and an entire history. Davis' parents meet Gwen and are immediately taken with her. By the time Davis finds out what has happened, 2 things have happened, the whole town thinks he's married, and Becky tells him that Gwen has made her see him in a whole new light. Gwen and Davis agree that she can pretend to be his wife and get free rent while Davis works on Becky until they can announce a divorce. The trouble is that no one in the town wants them to separate and keep trying to help them reconcile."
14017,1999.0,Batman Beyond: School Dayz / Spellbound,,,,,,,
14018,2004.0,Billy Blanks: Tae Bo Strength & Power,,,,,,,
14019,1990.0,The Forbidden Dance Is Lambada,97,3.5,Greydon Clark,Menahem Golan-Roy Langsdon-John Platt,21st Century Film Corporation-Sawmill Entertainment Corporation,Drama-Romance,A princess in the Amazon rain forest tries to fight a conglomerate threatening the forests by going to Los Angeles. There she links up with a rich kid who tells her that she must get on TV to succeed with her mission. The two come up with the idea of winning a lambada dance contest that is getting TV attention.
14020,1975.0,Barney Miller: Season 1,,,,,,,
14021,2000.0,El Bola,88,7.3,Achero Mañas,Achero Mañas-Verónica Fernández,Canal+ España-Televisión Española (TVE)-Tesela Producciones Cinematográficas-Vía Digital,Drama,"El Bola, a 12 year old boy a.k.a. ""Pellet"" is a 12 year old boy raised in a violent and sordid environment. Embarrassed by his family life, he avoids becoming close to classmates. The arrival of a new boy at school changes his attitude towards his classmates, and friendship. The heart of the story is the change in El Bola's life, at almost all levels, after befriending this new classmate."
14022,2000.0,Gladiator: Bonus Material,,,,,,,
14023,1952.0,The Road to Bali,91,6.8,Hal Walker,Frank Butler-Hal Kanter-William Morrow,Bing Crosby Productions-Hope Enterprises,Adventure-Comedy-Fantasy-Musical,"Having to leave Melbourne in a hurry to avoid various marriage proposals, two song-and-dance men sign on for work as divers. This takes them to an idyllic island on the way to Bali where they vie with each other for the favours of Princess Lala. The hazardous dive produces a chest of priceless jewels which arouses the less romantic interest of some shady locals."
14024,1999.0,Sorcerer on the Rocks,,5.2,Kazuhiro Ozawa,Satoru Akahori-Hiroyuki Kawasaki-Kazuhiro Ozawa,,Animation-Comedy-Fantasy,Ruthless sorcerer Chivas Scotch is hired by a count named Cuttlefish to destroy an evil monster attacking a nearby village. But things go awry when Chivas fails to destroy the monster and he's forced to transfer his spirit in the body of his beautiful servant Gin Fizz.
14025,1992.0,Little Nemo: Adventures in Slumberland,,,Jim Murphy,,Buena Vista Television,Talk-Show,
14026,2004.0,Billy Blanks: Tae Bo: Contact 1,,,,,,,
14027,1978.0,Every Which Way But Loose,114,6.3,James Fargo,Jeremy Joe Kronsberg,Warner Bros.-The Malpaso Company,Action-Comedy,"Philo Beddoe is an easy-going trucker and a great fist-fighter. With two friends - Orville, who promotes prize-fights for him, and Clyde, the orangutan he won on a bet - he roams the San Fernando Valley in search of cold beer, country music and the occasional punch-up. But he is floored himself by a dainty little country and western singer, who gives him the slip when she realizes he's getting too serious. Phil, Clyde and Orville set off in pursuit, pestered by bikers."
14028,2002.0,Great Lodges of the National Parks: Grand Lodges / Canyon Lodges,,,,,,,
14029,1986.0,Betty Blue,120,7.4,Jean-Jacques Beineix,Philippe Djian-Jean-Jacques Beineix,Gaumont-Cargo Films-Constellation Productions-Centre National de la Cinématographie (CNC),Drama-Romance,"Zorg is a handyman working at the seaside in France, maintaining and looking after the wooden bungalows. He lives a quiet and peaceful life, working diligently and writing in his spare time. He is in love with Betty, a young woman who is as beautiful as she is wild and unpredictable. After a dispute with Zorg's boss, they leave and Betty finds a place to stay at her girlfriend's house. The girlfriend's lover owns an Italian restaurant and there they find a job. She is obsessed to try to get one of Zorg's books published, but it is rejected, which makes Betty fly into a rage. Suddenly, Betty's wild manners start to get out of control. Zorg sees the woman he loves slowly going insane. Is his love for Betty strong enough, if even if it comes to the worst?"
14030,2004.0,Extreme Engineering: Building Hong Kong's Airport,,,,,,,
14031,2002.0,Buffy the Vampire Slayer: Season 7,,7.7,,Christopher Golden-Richard Hare-Tom Sniegoski,GameBrains-The Collective Studios,Action-Fantasy,"Buffy is helping Cordelia by joining the cheerleading squad; the power goes out and vampires attack the school. Buffy fends them off, but one of them gets away with an out of date book from the library. Soon, Buffy and the Scoobies come across a plot to resurrect the Master from the spirit realm he currently inhabits. Buffy faces Spike, a possessed Angel, and hoards of vampires, skeletons, and demons determined to keep Buffy from stopping the plot."
14032,2001.0,UFOs and Aliens,,,,,,,
14033,1997.0,Psychopath,,,,,,,
14034,1978.0,The Bad News Bears Go to Japan!,91,3.5,John Berry,Bill Lancaster,Michael Ritchie Productions-Paramount Pictures-Paramount Pictures-Toei Company,Comedy-Family-Sport,"In this third film of the Bad News Bears series, Tony Curtis plays a small time promoter/hustler who takes the pint-sized baseball team to Japan for a match against the country's best little league baseball team which sparks off a series of adventures and mishaps the boys come into."
14035,1993.0,Italian Movie,95,4.8,Roberto Monticello,Eugenia Bone-Angela Sciddurlo Rago,,Drama,
14036,1998.0,Twilight of the Ice Nymphs / Archangel,,,,,,,
14037,1997.0,Burn Up Excess: Vol. 4: The Case of the Black Diamonds,,,,,,,
14038,2001.0,Goodnight Moon,,7.4,Amy Schatz,,,,
14039,1963.0,The Birds,119,7.7,Alfred Hitchcock,Daphne Du Maurier-Evan Hunter,Alfred J. Hitchcock Productions,Drama-Horror-Mystery-Romance,"Melanie Daniels is the modern rich socialite, part of the jet-set who always gets what she wants. When lawyer Mitch Brenner sees her in a pet shop, he plays something of a practical joke on her, and she decides to return the favor. She drives about an hour north of San Francisco to Bodega Bay, where Mitch spends the weekends with his mother Lydia and younger sister Cathy. Soon after her arrival, however, the birds in the area begin to act strangely. A seagull attacks Melanie as she is crossing the bay in a small boat, and then, Lydia finds her neighbor dead, obviously the victim of a bird attack. Soon, birds in the hundreds and thousands are attacking anyone they find out of doors. There is no explanation as to why this might be happening, and as the birds continue their vicious attacks, survival becomes the priority."
14040,1993.0,Faraway,144,7.3,Wim Wenders,Wim Wenders-Ulrich Zieger-Richard Reitinger,Road Movies Filmproduktion-Tobis,Drama-Fantasy-Romance,
14041,2001.0,Chasing Holden,,,,,,,
14042,2001.0,Mulholland Drive,147,8.0,David Lynch,David Lynch,Les Films Alain Sarde-Asymmetrical Productions-Babbo Inc.-Canal+-The Picture Factory,Drama-Mystery-Thriller,"A bright-eyed young actress travels to Hollywood, only to be ensnared in a dark conspiracy involving a woman who was nearly murdered, and now has amnesia because of a car crash. Eventually, both women are pulled into a psychotic illusion involving a dangerous blue box, a director named Adam Kesher, and the mysterious night club Silencio."
14043,2002.0,Shoot or Be Shot,90,5.0,J. Randall Argue,J. Randall Argue-Steve Catanzaro-Alistair Salton,PorchLight Entertainment,Comedy,
14044,2000.0,Edge of Seventeen,,,,,,,
14045,2001.0,Mind Meld: Secrets Behind the Voyage of a Lifetime,75,8.0,Peter Jaysen,,Creative Light Entertainment,Documentary-Sci-Fi,
14046,2005.0,World War I in Color,,,,,,,
14047,2003.0,Tears of the Sun,121,6.6,Antoine Fuqua,Alex Lasker-Patrick Cirillo,Cheyenne Enterprises-Michael Lobell Productions-Revolution Studios,Action-Drama-Thriller-War,"Navy SEAL Lieutenant A.K. Waters and his elite squadron of tactical specialists are forced to choose between their duty and their humanity, between following orders by ignoring the conflict that surrounds them, or finding the courage to follow their conscience and protect a group of innocent refugees. When the democratic government of Nigeria collapses and the country is taken over by a ruthless military dictator, Waters, a fiercely loyal and hardened veteran is dispatched on a routine mission to retrieve a Doctors Without Borders physician, Dr. Lena Kendricks. Dr. Kendricks, an American citizen by marriage, is tending to the victims of the ongoing civil war at a Catholic mission in a remote village. When Waters arrives, however, Dr. Kendricks refuses to leave unless he promises to help deliver the villagers to political asylum at the nearby border. If they are left behind, they will be at the mercy of the enormous rebel army. Waters is under strict orders from his commanding officer Captain Bill Rhodes to remain disengaged from the conflict. But as he and his men witness the brutality of the rebels first-hand, they are won over to Dr. Kendricks' cause and place their lives at risk by agreeing to escort the villagers on a perilous trek through the dense jungle. As they move through the countryside on foot, Waters' team, experts at evasion and concealment, are inexplicably and ferociously pursued by an army of rebels. They are confounded until they discover that, among the refugees, is the sole survivor of the country's previous ruling family, whom the rebels have been ordered to eliminate at all costs. Waters and his small band of soldiers must weigh the life of one man against their own and the refugees they feel obliged to protect."
14048,2004.0,Bush Family Fortunes: The Best Democracy Money Can Buy,61,6.7,Steven Grandison,Greg Palast-Greg Palast,Disinformation Company,Documentary,
14049,2003.0,Lost in Time,109,7.3,Tung-Shing Yee,James Yuen,China Star Entertainment-Film Unlimited-One Hundred Years of Film Company-Sil-Metropole Organisation,Drama,"Sui Wai lost her fiance Ah Man in a car accident. With the obligations of life sitting heavy on her shoulders, she lives on only to find herself confiding in her beloved through a phone call. Dai Fai. a mini-bus driver who witnessed Ah Man's death, is always there offering her attentive encouragement and support, yet he himself also lives in the shadow of his last relationship. When Siu Wai strives to face the future without the man she loves, Dai Fai finds himself steadily falling in love with her."
14050,1971.0,Willy Wonka & the Chocolate Factory,100,7.8,Mel Stuart,Roald Dahl-Roald Dahl-David Seltzer,Wolper Pictures Ltd.,Family-Fantasy-Musical,"The world is astounded when Willy Wonka, for years a recluse in his factory, announces that five lucky people will be given a tour of the factory, shown all the secrets of his amazing candy, and one will win a lifetime supply of Wonka chocolate. Nobody wants the prize more than young Charlie, but as his family is so poor that buying even one bar of chocolate is a treat, buying enough bars to find one of the five golden tickets is unlikely in the extreme. But in movieland, magic can happen. Charlie, along with four somewhat odious other children, get the chance of a lifetime and a tour of the factory. Along the way, mild disasters befall each of the odious children, but can Charlie beat the odds and grab the brass ring?"
14051,1989.0,Why Has Bodhi Dharma Left for the East?,137,7.7,Yong-Kyun Bae,Yong-Kyun Bae,Bae Yong-Kyun Productions,Drama,"Three people live in a remote Buddhist monastery near Mount Chonan: Hyegok, the old master; Yong Nan, a young man who has left his extended family in the city to seek enlightenment - Hyegok calls him Kibong!; and, an orphan lad Haejin, whom Hyegok has brought to the monastery to raise as a monk. The story is mostly Yong Nan's, told in flashbacks: how he came to the monastery, his brief return to the city, his vacillation between the turbulence of the world and his hope to overcome passions and escape the idea of self. We also see Hyegok as a teacher, a protector, and a father figure, and we watch Haejin make his way as a curious and nearly self-sufficient child."
14052,1983.0,Mansfield Park,261,6.7,David Giles,Jane Austen-Ken Taylor,British Broadcasting Corporation-Lionheart Television International,Drama-Romance,"Her family living under the heavy burden of poverty, 10 year old Fanny Price is sent to live with her more affluent uncle and aunt, Sir Thomas and Lady Bertram of Mansfield Park. Growing up, she is treated as an inferior relation by all but her best friend and cousin Edmund. Quiet, staid, and virtuous Fanny witnesses the stirrings of passion when worldly siblings Henry and Mary Crawford move in next door. Henry toys with the affections of Fanny's cousins Maria and Julia, but then his attentions unexpectedly turn towards Fanny..."
14053,2003.0,Paparazzi,,,,,,,
14054,1969.0,Jethro Tull: New Day Yesterday: 25th Anniversary Collection: 1969 - 1994,,,,,,,
14055,1983.0,The Texas Chainsaw Massacre 2,,6.1,,Kim Henkel-Tobe Hooper,,Action-Horror,
14056,1959.0,Ben-Hur: Collector's Edition,,,,,,,
14057,1938.0,Angels with Dirty Faces,97,7.9,Michael Curtiz,John Wexley-Warren Duff-Rowland Brown,Warner Bros.,Crime-Drama-Film-Noir-Thriller,"Two boyhood friends, Rocky Sullivan and Jerry Connolly have taken different paths in life. After Rocky is arrested he is sent to a juvenile facility and becomes a lifelong tough guy and criminal. Jerry on the other hand goes straight and becomes a Catholic priest ministering to people in the same neighborhood when he and Rocky grew up. When Rocky is released from prison he resumes his criminal lifestyle and becomes much admired by many of the local kids. Worried that the kids will follow Rocky into the criminal world, Jerry works hard to keep them on the straight and narrow. When Rocky is convicted and sentenced to the electric chair, Jerry asks him for one last favor."
14058,1991.0,Inspector Morse 18: Who Killed Harry Field?,,,,,,,
14059,1980.0,The Beach Boys: Good Timin': Live at Knebworth,,,,,,,
14060,2004.0,Alexander: Theatrical Cut,,,,,,,
14061,1991.0,Record of Lodoss War,,7.4,Akinori Nagaoka,Ryo Mizuno-Hitoshi Yasuda-Mami Watanabe,Kadokawa Media Office-Kadokawa Shoten Publishing Co.-Madhouse-Marubeni-Tokyo Broadcasting System,Animation-Action-Adventure-Fantasy-Romance,
14062,1980.0,Humanoids from the Deep,80,5.7,Barbara Peeters-Jimmy T. Murakami,Frank Arnold-Martin B. Cohen-William Martin,New World Pictures,Horror-Sci-Fi,"Scientific experiments backfire and produce horrific mutations: half man, half fish, which terrorize a small fishing village by killing the men and raping the women."
14063,1937.0,Nothing Sacred,77,7.3,William A. Wellman,Ben Hecht-James Street-David O. Selznick,Selznick International Pictures,Comedy-Drama-Romance,"Hazel Flagg of Warsaw, Vermont receives the news that her terminal case of radium poisoning from a workplace incident was a complete misdiagnosis with mixed emotions. She is happy not to be dying, but she, who has never traveled the world, was going to use the money paid to her by her factory to go to New York in style. She believes her dreams can still be realized when Wally Cook arrives in town. He is a New York reporter with the Morning Star newspaper. He believes that Hazel's valiant struggle concerning her impending death is just the type of story he needs to resurrect his name within reporting circles after a recent story he wrote led to scandal and a major demotion at the newspaper. He proposes to take Hazel to New York both to report on her story but also to provide her with a grand farewell to life. She accepts. Wally's story results in Hazel becoming the toast of New York. In spending time together, Wally and Hazel fall in love. Hazel not only has to figure out what to do about her relationship with Wally, but also how to conclude her now very public story, which all of New York expects will be a public and imminent death. Others, however, may conclude the story for her."
14064,1965.0,Morituri,123,7.0,Bernhard Wicki,Werner Jörg Lüddecke-Daniel Taradash,Arcola Pictures-Colony Productions,Action-Drama-Thriller-War,A German living in India during World War II is blackmailed by the English to impersonate an SS officer on board a cargo ship leaving Japan for Germany carrying a large supply of rubber for tyres. His mission is to disable the scuttling charges so the captain cannot sink the ship if they are stopped by English warships.
14065,1994.0,Little Big League,119,6.1,Andrew Scheinman,Gregory K. Pincus-Gregory K. Pincus-Adam Scheinman,Castle Rock Entertainment-Lobell/Bergman Productions,Comedy-Family-Sport,"When the owner of the Minnesota Twins dies suddenly, his will bequeaths the team to his grandson Billy, a devotee of baseball who, although only 12, has devoured voluminous lore, knows the team intimately, and has shown an uncanny sixth sense of what they need to improve. They hate their manager, so Billy quickly fires the SOB, winning their instant approval. However, this turns to dismay when he announces their new manager: Billy Heywood. How will Billy convince a gang of proud, tough men to stick around and take orders from a kid? On the other hand, what's to lose-- the team has nowhere to go but up."
14066,1986.0,Firewalker,105,5.0,J. Lee Thompson,Robert Gosnell-Jeffrey M. Rosenbaum-Norman Aladjem,Cannon Group-Golan-Globus Productions-Major Studio Partners,Action-Adventure-Comedy,"Max Donigan sets off on a treasure hunt with his friend Leo and newly-acquired partner Patricia, who provided the treasure map. Along the way they encounter a few bar fights, evil ""coyotes"", and other obstacles they are able to overcome with ease. When they find the temple with the treasure, they also find the Firewalker, who wants to retain the power of his ancestors and put an end to the trio's treasure hunt. In the end, Max and his two friends persevere and return home wealthy."
14067,2004.0,Baby Einstein: Baby MacDonald: A Day on the Farm,,,,,,,
14068,1982.0,Angel,,,,,,,
14069,1999.0,The Lost Son,102,6.5,Chris Menges,Eric Leclere-Margaret Leclere-Mark Mills,Arts Council of England-Canal+-Channel Four Films-France 2 Cinéma-France 3 Cinéma-IMA Productions-Scala Films-The Film Consortium-UCG International-Wildgaze Films,Crime-Drama-Romance-Thriller,"Xavier Lombard is a world-weary private eye in London, in exile from his native Paris; his best friend is Nathalie, a high-class call girl. He gets a call from an old friend from the Paris police department, now a businessman whose brother-in-law is missing. The missing man's parents hire Xavier over their daughter's objections, and quickly he finds himself in the realm of children's sexual slavery. He guesses that the lost son is dead and shifts his focus to finding and breaking this lucrative business of child trafficking. He involves a reluctant Nathalie to hunt ""the Austrian,"" the shadowy head of the business. Violence erupts quickly, and Xavier soon has little more to lose."
14070,1977.0,The Last Wave,106,7.1,Peter Weir,Peter Weir-Tony Morphett-Petru Popescu,McElroy & McElroy-Derek Power-The South Australian Film Corporation-The Australian Film Commission-Last Wave Productions-Ayer Productions,Drama-Fantasy-Mystery-Thriller,"A Sydney lawyer has more to worry about than higher-than-average rainfall when he is called upon to defend five Aboriginals in court. Determined to break their silence and discover the truth behind the hidden society he suspects lives in his city, the Lawyer is drawn further, and more intimately, into a prophesy that threatens a new Armageddon, wherein all the continent shall drown."
14071,2005.0,Thomas & Friends: Calling All Engines,60,6.5,Steve Asquith,Wilbert Awdry-Britt Allcroft-Paul Larson,HIT Entertainment,Family,
14072,1981.0,Dragonslayer,108,6.7,Matthew Robbins,Hal Barwood-Matthew Robbins,Paramount Pictures-Walt Disney Productions,Action-Adventure-Fantasy,"A King has made a pact with a dragon where he sacrfices virgins to it, and the dragon leaves his kingdom alone. An old wizard, and his keen young apprentice volunteer to kill the dragon and attempt to save the next virgin in line, the King's own daughter."
14073,2000.0,Forgive and Forget,100,6.4,Aisling Walsh,Mark Burt,Scottish Television Enterprises,Comedy-Drama-Romance,"David O'Neil, a plasterer and mature student Theo have been best mates for fourteen years and are practically inseparable. However, their friendship has become strained as Theo is about to move in with his long-term girlfriend, photographer Hannah. A raging jealousy awakes in David and he starts scheming to break up the loving couple using Hannah's insecurities against them. When the couple eventually separate David is in a quandary about his next move and is forced to confront his long-hidden homosexuality and feelings towards Theo. Eventually, David decides to reveal his sexual orientation and deep love for Theo very publicly by arranging for them both to appear as guests on Judith Adams' talk-show, ""forgive and forget"", with tragic consequences for their friendship and David's family."
14074,2001.0,Novocaine,95,5.8,David Atkins,Paul Felopulos-David Atkins-David Atkins,Artisan Entertainment-Numb Gums Productions Inc.,Comedy-Crime-Drama-Thriller,"Dr. Frank Sangster is a straight-laced dentist who because of one innocent lie, finds his tidy, prosperous life transformed into a comic quagmire of illicit sex, illegal drugs and inexplicable murder in this brilliantly offbeat, bitingly comedic film!"
14075,2002.0,A Rumor of Angels,,,,,,,
14076,2004.0,Stephen Lynch: Live at the El Rey,70,8.9,Matt Goodman-Morgan Stone,,900 Films,Comedy-Music,
14077,2000.0,Los Angeles Lakers: NBA Finals 2000,,,,,,,
14078,2004.0,America Beyond the Color Line,,,Mary Crisp-Daniel Percival,,Wall to Wall,Documentary-History,
14079,1991.0,The Very Best of the Ed Sullivan Show: Vol. 1: Unforgettable Performances,,,,,,,
14080,1990.0,Exorcist 3,110,6.3,William Peter Blatty,William Peter Blatty-William Peter Blatty,Morgan Creek Entertainment,Drama-Horror-Mystery,"Lt. Kinderman and Father Dyer cheer each other up on the anniversary of the death of their mutual friend, Father Damien Karras, by going to see ""It's a Wonderful Life"" at the local theater in Georgetown, near Washington D.C. But there's no cheering Kinderman while a particularly cruel and gruesome serial killer is at large. His murders, which involve torture, decapitation and the desecration of religious icons, is bad enough; but they also resemble those of the Gemini Killer, who has been dead for fifteen years."
14081,2004.0,Stratos 4,,,Takeshi Mori,Takeshi Mori-Katsuhiko Takayama,Bandai Visual Company,Animation-Short-Action-Sci-Fi,
14082,2005.0,Strawberry Shortcake: Seaberry Beach Party,64,7.6,,Phil Harnage-Andrew Sabiston,DIC Entertainment,Animation,"Strawberry's friend Coco Calypso and her animal friends have a happy life on Seaberry Island. But someone keeps stealing the seaberries Coco harvests! As Strawberry and Coco try to find the thief, they discover a shy girl named Seaberry Delight, and a fabulous new friend! Then, Strawberry, Rainbow Sherbet, Blueberry Muffin, Coco and Seaberry become mermaids in search of hidden treasure. In the process they meet a real-life Sea Beast and try to undo a mysterious magic spell."
14083,2004.0,Blade: Trinity: Bonus Material,,,,,,,
14084,2000.0,Leonardo DiCaprio: Double Feature,,,,,,,
14085,1999.0,Deep Purple: In Concert with The London Symphony Orchestra,,,,,,,
14086,1999.0,Dawson's Creek: Season 3,,,,,,,
14087,1983.0,Inspector Gadget: The Gadget Files,,,,,,,
14088,1997.0,The Pillow Book,,,,,,Talk-Show,
14089,2004.0,Mo'Nique: One Night Stand,,,,,,,
14090,2004.0,Peace One Day,80,7.8,Jeremy Gilley,Jeremy Gilley,Peace One Day-British Broadcasting Corporation,Documentary,
14091,1992.0,Lorenzo's Oil,129,7.3,George Miller,George Miller-Nick Enright,Universal Pictures-Kennedy Miller Productions,Drama,"Until about the age of seven, Lorenzo Odone was a normal child. After then, strange things began to happen to him: he would have blackouts, memory lapses, and other strange mental phemonenons. He is eventually diagnosed as suffering from ALD (adrenoleukodystrophy): an extremely rare incurable degenerative brain disorder. Frustrated at the failings of doctors and medicine in this area, the Odones begin to educate themselves in the hope of discovering something which can halt the progress of the disease."
14092,2000.0,Nice Guys Sleep Alone,,,,,,,
14093,2001.0,Best of the Blues Brothers,,,,,,,
14094,2002.0,Cathouse,70,5.8,Patti Kaplan,George Ciccarone,By George Productions,Documentary,"Between March # April 2002 the HBO team went into the legal brothel that is the Bunny Ranch. We meet the owners and the staff as well as some of those coming to use the girls. With hidden cameras we see the girls discussing what the visitors want to do and the prices. Guest include a mother who brings her 22 year old son to lose his virginity, an 18 year old looking for his first time, two brothers who want to share a girl, a couple who go to separate rooms with two different girls and a couple who want to have sex with the same girl."
14095,1968.0,Elvis Presley: Elvis: '68 Comeback Special,,,,,,,
14096,2003.0,Step Into Liquid,87,7.5,Dana Brown,Dana Brown,New Visual Entertainment-Top Secret Productions,Documentary-Sport,
14097,2003.0,MTV: The Real World: Hook-Ups,60,7.3,Jensen Rufe,,Bunim-Murray Productions,Documentary,
14098,1979.0,Love at First Bite,96,6.1,Stan Dragoti,Robert Kaufman-Robert Kaufman-Mark Gindes,American International Pictures-Melvin Simon Productions,Comedy,"This vampire spoof has Count Dracula moving to New York to find his Bride, after being forced to move out of his Transylvanian castle. There with the aid of assistant Renfield, he stumbles through typical New York city life situations while pursuing Cindy Soundheim. But her boyfriend, Doctor Jeff Rosenberg, realizes she is under the influence of a vampire, and tries his bumbling best to convince police Lt Ferguson of what is going on, and to help him stop Dracula."
14099,2001.0,A Galaxy Far Far Away,62,5.3,Tariq Jalil,Tariq Jalil,MorningStar Productions,Comedy-Documentary,A documentary exploring the attraction of the Star Wars universe to its many fans. Includes interviews and cameos from across the United States. Leads up to the opening of Star Wars Episode I: The Phantom Menace.
14100,2004.0,Maxim: The Real Swimsuit DVD: Vol. 1,52,6.1,Keith Blanchard-Andy Clerkson,Keith Blanchard,Dennis Media Group,Documentary,
14101,1972.0,Trinity Is Still My Name,,,,,,,
14102,1990.0,Without You I'm Nothing,89,6.8,John Boskovich,Sandra Bernhard-John Boskovich,Go Ahead Bore Me...-Management Company Entertainment Group,Comedy-Musical,
