id,year,title,Runtime,Rating,Directors,Writers,Production companies,Genres
8022,1982,Queen: We Will Rock You,96,8.6,Saul Swimmer,,Mobilevision-Yellowbill,Documentary-Music
8023,2001,Dark Descent,,,,,,
8024,2000,Divided We Fall,120,7.7,Jan Hrebejk,Jan Hrebejk-Petr Jarchovský-Petr Jarchovský,Ceská Televize-Total HelpArt T.H.A.,Comedy-Drama-War
8025,2003,Festival Express: Bonus Material,,,,,,
8026,1983,He-Man and the Masters of the Universe: Season 1: Vol. 1,,,,,,
8027,1980,Gloria,123,7.1,John Cassavetes,John Cassavetes,Columbia Pictures,Crime-Drama-Thriller
8028,1993,White Lotus Cult,96,6.4,Siu-Keung Cheng,James Fung,Citimedia-Long Shong Pictures,
8029,2004,Dora the Explorer: Catch the Stars,,,,,,
8030,2004,Denied,96,4.9,David Paul Scott,David Paul Scott,,Drama-Romance
8031,1986,Ken Burns' America: The Statue of Liberty,,,,,,
8032,1973,Lisa & the Devil,95,6.4,Mario Bava,Mario Bava-Alfredo Leone-Giorgio Maulini,Leone International-Euro America Produzioni Cinematografiche-Roxy Film-Tecisa,Horror-Mystery
8033,1992,Bebe's Kids,70,5.7,Bruce W. Smith,Robin Harris-Reginald Hudlin,Hyperion Pictures-The Hudlin Brothers,Animation-Comedy-Fantasy-Musical
8034,1946,The Harvey Girls,102,7.1,George Sidney,Edmund Beloin-Nathaniel Curtis-Harry Crane,Metro-Goldwyn-Mayer,Comedy-Musical-Western
8035,2002,Texas: 30 Odd Foot of Grunts,,,,,,
8036,1991,Chinese Ghost Story 3: Special Edition,,,,,,
8037,1995,Home for the Holidays,103,6.6,Jodie Foster,Chris Radant-W.D. Richter,Paramount Pictures-Polygram Filmed Entertainment-Egg Pictures,Comedy-Drama-Romance
8038,1950,Cinderella: Special Edition,,,,,,
8039,1975,Saturday Night Live: 25 Years of Music,,,,,,
8040,1971,The Old Grey Whistle Test: Vol. 1,,8.3,,,British Broadcasting Corporation,Music
8041,2002,Rare Birds,,,,,,
8042,1955,The Far Country,,,,,,
8043,1968,Blackbeard's Ghost,106,6.8,Robert Stevenson,Bill Walsh-Don DaGradi-Ben Stahl,Walt Disney Productions,Comedy-Family-Fantasy
8044,1988,American Gothic,,,,,,
8045,2003,Open Range,139,7.5,Kevin Costner,Lauran Paine-Craig Storper,Touchstone Pictures-Cobalt Media Group-Beacon Pictures-Tig Productions-Open Range Productions,Action-Drama-Romance-Western
8046,1993,Menace II Society,97,7.5,Albert Hughes-Allen Hughes,Allen Hughes-Albert Hughes-Tyger Williams,New Line Cinema,Crime-Drama-Thriller
8047,1994,Tandem,46,8.1,,Paul Haggis-Jeff King-Kathy Slevin,Alliance Atlantis Communications-Alliance Communications Corporation-Baton Broadcasting Company-British Broadcasting Corporation-CBS Productions-CTV Television Network-Paul Haggis Productions-Pro 7,Adventure-Comedy-Crime-Drama
8048,1965,Ladies and Gentlemen,45,7.4,Donald Brittain-Don Owen,Donald Brittain,National Film Board of Canada,Documentary-Biography
8049,1990,Dick Tracy,105,6.1,Warren Beatty,Chester Gould-Jim Cash-Jack Epps Jr.,Touchstone Pictures-Silver Screen Partners IV-Touchstone Pictures-Mulholland Productions-Walt Disney Pictures,Action-Comedy-Crime-Music-Romance-Thriller
8050,1999,Joan of Arc,158,6.4,Luc Besson,Andrew Birkin-Luc Besson,Gaumont-Okko Productions,Adventure-Biography-Drama-History-War
8051,2001,The Curse of the Jade Scorpion,103,6.8,Woody Allen,Woody Allen,DreamWorks-VCL Communications-Gravier Productions-Perido Productions,Comedy-Crime-Mystery-Romance
8052,2000,Emmanuelle's Intimate Encounters,90,4.0,Rolfe Kanefsky,Rolfe Kanefsky,Click Productions Inc.-Click Studios-Oranton Ltd.,Drama-Romance
8053,2000,Cardcaptors,30,8.2,,Clamp,Madhouse-Nelvana-Ocean Group,Animation-Family-Fantasy
8054,1994,The Monster,112,7.5,Roberto Benigni,Roberto Benigni-Vincenzo Cerami-Michel Blanc,Canal Plus-IRIS Films-La Sept Cinéma-Melampo Cinematografica-Union Générale Cinématographique,Comedy-Crime-Mystery
8055,1972,The Bob Newhart Show: Season 1,,,,,,
8056,1993,The 13 Cold-Blooded Eagles,100,6.3,Dongqin Lu-Fat Tsui,Yi Yu,Cheung Yau Production Co.-Guangxi Film Studio,Action-Drama
8057,1984,King Lear,,,,,,
8058,1999,Learning HTML: No Brainers,,,,,,
8059,1991,Rush: Chronicles,,,,,,
8060,1998,His and Her Circumstances,24,7.9,,Hideaki Anno-Crispin Freeman-Hiroyuki Imaishi,Gainax-J.C. Staff-SoftX-TV Tokyo,Animation-Comedy-Drama-Romance
8061,2003,Black Sabbath: Never Say Die,,,,,,
8062,1999,Black Beauty (Animated),,,,,,
8063,1993,Calendar,74,6.7,Atom Egoyan,Atom Egoyan,Ego Film Arts-The Armenian National Cinematheque-ZDF Television,Comedy-Drama-Romance
8064,1986,Mauvais Sang,116,7.3,Leos Carax,Leos Carax,Les Films Plain Chant-Soprofilms-FR3 Films Production-Unité Trois-Centre National de la Cinématographie (CNC)-Sofima-Georges Reinhart Productions-Limbo Film AG-Sogedis,Crime-Drama-Romance
8065,1988,Lady in White,113,6.7,Frank LaLoggia,Frank LaLoggia,New Sky Communications Inc.,Fantasy-Horror-Mystery-Thriller
8066,2003,Amandla! A Revolution in Four Part Harmony,,,,,,
8067,2001,The Inspector Lynley Mysteries: A Great Deliverance,180,7.6,Richard Laxton,Elizabeth George-Lizzie Mickery,WGBH-British Broadcasting Corporation,Crime-Drama-Mystery-Romance
8068,2003,Legally Exposed,,,,,,
8069,2002,Ax 'Em,,,,,,
8070,2004,Imagining Argentina,,,,,,
8071,2002,India: Kingdom of the Tiger: IMAX,42,6.1,Bruce Neibaur,Keero Singh Birla-Jim Corbett,National Wildlife Productions-Primesco Communications Inc.,Documentary-Short
8072,1995,Seven: Bonus Material,,,,,,
8073,1957,Night of the Demon / Curse of the Demon: Double Feature,,,,,,
8074,2001,Roughing It,,,,,,
8075,2000,The Last of the Blonde Bombshells,83,7.4,Gillies MacKinnon,Alan Plater,HBO Films-British Broadcasting Corporation (BBC)-Universal Television-Working Title Television,Comedy-Music
8076,1987,Diane Schuur & the Count Basie Orchestra,51,,,,,Music
8077,1986,Something Wild,114,6.9,Jonathan Demme,E. Max Frye,Religioso Primitiva,Comedy-Crime-Romance-Thriller
8078,1995,Waiting to Exhale,124,5.8,Forest Whitaker,Terry McMillan-Terry McMillan-Ronald Bass,Twentieth Century Fox,Comedy-Drama-Romance
8079,1994,Interview with the Vampire,123,7.6,Neil Jordan,Anne Rice-Anne Rice,Geffen Pictures,Drama-Horror
8080,1997,Highlander: Season 6,,,,,,
8081,1994,Knowing Me Knowing You with Alan Partridge: The Complete Series,,,,,,
8082,2004,Koi Kaze,25,7.6,Liam O'Brien-Takahiro Ômori,Liam O'Brien-Noboru Takagi-Motoi Yoshida,A.C.G.T-Geneon Entertainment-Rondo Robe,Animation-Drama-Romance
8083,1988,The Tracker,98,6.2,John Guillermin,Kevin Jarre,Eaves Movie Ranch-HBO Pictures-Incorporated Television Company,Western
8084,1983,G.I. Joe: Season 1: Part 1,,,,,,
8085,1979,Star Blazers: Series 1: The Quest for Iscandar,,,,,,
8086,2001,Cats & Dogs,87,5.2,Lawrence Guterman,John Requa-Glenn Ficarra,Warner Bros.-Village Roadshow Pictures-NPV Entertainment-Mad Chance-Zide-Perry Productions-BenderSpink,Action-Comedy-Family-Fantasy
8087,2004,Origins: Nova,,8.1,Julia Cort-Mark Everest-Alice Harper,Julia Cort-Alice Harper-Nigel Henbest,,Documentary-Biography
8088,1947,13 Rue Madeleine,,,,,,
8089,1990,My Mother's Castle,98,7.6,Yves Robert,Marcel Pagnol-Jérôme Tonnerre-Yves Robert,Gaumont-Gaumont Production-Les Productions de la Guéville-TF1 Films Production-Centre National de la Cinématographie (CNC),Adventure-Biography-Comedy-Drama-Romance
8090,1956,Bob Le Flambeur,98,7.8,Jean-Pierre Melville,Jean-Pierre Melville-Jean-Pierre Melville-Auguste Le Breton,Organisation Générale Cinématographique-Play Art-Productions Cyme-Studios Jenner,Crime-Drama-Thriller
8091,2002,Lord of the Rings: The Two Towers: Bonus Material,,,,,,
8092,1983,The Right Stuff: Bonus Material,,,,,,
8093,1953,M. Hulot's Holiday,114,7.5,Jacques Tati,Pierre Aubert-Jacques Lagrange-Henri Marquet,Discina Film-Cady Films-Specta Films,Comedy
8094,1967,Easy Come,95,5.2,John Rich,Allan Weiss-Anthony Lawrence,Wallis-Hazen,Adventure-Comedy-Music
8095,2003,Beef,103,7.3,Peter Spirer,Peter Alton-Peter Spirer,Aslan Productions-Open Road Films-QD3 Entertainment,Documentary
8096,1990,Mountains of the Moon,136,7.2,Bob Rafelson,William Harrison-William Harrison-Bob Rafelson,Carolco Pictures-IndieProd Company Productions-Zephyr Films,Adventure-Drama-History-Mystery
8097,2004,Asylum of the Damned,,,,,,
8098,1978,The Buddy Holly Story,114,7.3,Steve Rash,Alan Swyer-John Goldrosen-Robert Gittler,Innovisions-ECA,Biography-Drama-Music
8099,2002,Reign of Fire,101,6.2,Rob Bowman,Gregg Chabot-Kevin Peterka-Gregg Chabot,Spyglass Entertainment-The Zanuck Company-Touchstone Pictures-Tripod Entertainment-World 2000 Entertainment,Action-Adventure-Fantasy-Sci-Fi-Thriller
8100,1989,Doctor Who: The Curse of Fenric,25,8.4,Nicholas Mallett,Ian Briggs-Sydney Newman,,Adventure-Drama-Family-Sci-Fi
8101,2002,Full Frontal,101,4.7,Steven Soderbergh,Coleman Hough,Miramax-Monophonic Inc.-Populist Pictures-Propaganda Films-Section Eight,Comedy-Romance
8102,1998,Kunoichi: Lady Ninja,106,4.9,Hitoshi Ozawa,Fûtarô Yamada-Jun'ichi Inoue-Hitoshi Ozawa,King Records-Marubeni-Tohokushinsha Film Corporation,Action-Adventure-Fantasy
8103,1997,National Geographic: Asteroids: Deadly Impact,,,,,,
8104,1999,Giving It Up,90,4.2,Christopher Kublan,Christopher Kublan-Daniel Einfeld,Bigel / Mailer Films,Comedy-Romance
8105,2003,The Jungle Book 2,72,5.4,Steve Trenbirth,Karl Geurs-Carter Crocker-Evan Spiliotopoulos,Disney Television Animation-Disneytoon Studios-Walt Disney Animation Australia-Walt Disney Pictures,Animation-Adventure-Family-Musical
8106,2005,Alien Apocalypse,88,4.5,Josh Becker,Josh Becker-Rob Tapert,Sci Fi Pictures-FWE Picture Company-ApolloProScreen Filmproduktion-Creative Light Entertainment,Adventure-Sci-Fi
8107,1987,Predator: Collector's Edition,,,,,,
8108,2001,Monsters,92,8.1,Pete Docter-David Silverman-Lee Unkrich,Pete Docter-Jill Culton-Jeff Pidgeon,Pixar Animation Studios-Walt Disney Pictures,Animation-Adventure-Comedy-Family-Fantasy
8109,2005,Brothers in Arms,85,2.3,Jean-Claude La Marre,Jean-Claude La Marre-Jean-Claude La Marre-Antonio Olivas,Sony Pictures Home Entertainment-Destination Films-Warning Films Inc.-Nu-Lite Entertainment-Caravan West-Grubb Productions,Western
8110,2001,Love the Hard Way,104,6.4,Peter Sehr,Shuo Wang-Peter Sehr-Marie Noëlle,Vif Babelsberger Filmproduktion GmbH & Co. Dritte KG-P'Artisan Filmproduktion GmbH-TiMe Film- und TV-Produktions GmbH-Open City Films-Daybreak Pictures Ltd.,Drama-Crime-Romance
8111,1978,Mork & Mindy: Season 1,,,,,,
8112,1958,Big Deal on Madonna Street,106,8.0,Mario Monicelli,Agenore Incrocci-Furio Scarpelli-Agenore Incrocci,Cinecittà-Lux Film-Vides Cinematografica,Comedy-Crime
8113,1994,Sweet Valley High: Season 1,,,,,,
8114,1999,A Man,113,4.9,Jan de Bont,David Self-Shirley Jackson,DreamWorks-Roth-Arnold Productions,Fantasy-Horror-Mystery-Thriller
8115,2000,Virgin Fleet,,,,,,
8116,2002,The Sopranos: Season 4,,,,,,
8117,1982,Pink Floyd: The Wall,95,8.0,Alan Parker,Roger Waters-Roger Waters,Goldcrest Films International-Metro-Goldwyn-Mayer-Tinblue,Animation-Drama-Fantasy-Music-Musical
8118,1997,Spawn: The Movie,,,,,Buena Vista Television,Talk-Show
8119,2002,Detour,,,,,,
8120,1987,Promised Land,102,5.7,Michael Hoffman,Michael Hoffman,Great American Films Limited Partnership-The Oxford Film Company-Vestron Pictures-Wildwood Enterprises,Drama
8121,1999,Search for the Great Sharks: IMAX,,,,,,
8122,1998,A Bright Shining Lie,118,6.5,Terry George,Neil Sheehan-Terry George,Home Box Office-Labrador Films,Drama-War
8123,2002,Ballistic: Ecks vs. Sever,91,3.6,Wych Kaosayananda,Alan B. McElroy,Franchise Pictures-Chris Lee Productions-MHF Erste Academy Film GmbH & Co. Produktions KG-Dante Entertainment-Epsilon Motion Pictures-SuperMega,Action-Crime-Sci-Fi-Thriller
8124,2003,May,,,,,,
8125,1995,Wedding Peach,24,6.4,,Sukehiro Tomita-Nao Yazawa,KSS-Nihon Ad Systems-TV Tokyo,Animation-Comedy-Fantasy-Romance
8126,1978,I Wanna Hold Your Hand,104,6.9,Robert Zemeckis,Robert Zemeckis-Bob Gale,Universal Pictures,Comedy-Music-Romance
8127,2005,The Work of Director Stephane Sednaoui,200,7.4,Stephane Sednaoui,,Palm Pictures,Documentary-Music
8128,1968,Five Card Stud,103,6.6,Henry Hathaway,Marguerite Roberts-Ray Gaulden,Wallis-Hazen,Mystery-Romance-Western
8129,1971,Little Murders,108,7.1,Alan Arkin,Jules Feiffer-Jules Feiffer,Twentieth Century Fox-Brodsky-Gould Productions,Comedy
8130,2000,Gothic Industrial Madness,,,,,,
8131,1974,The Conversation,113,7.9,Francis Ford Coppola,Francis Ford Coppola,The Directors Company-The Coppola Company-American Zoetrope-Paramount Pictures,Drama-Mystery-Thriller
8132,2000,The Crimson Code,90,4.6,Jeremy Haft,Alex Metcalf,John Aaron Productions-Regent Entertainment,Action-Crime-Thriller
8133,2004,Yu-Gi-Oh!: Season 1,,,,,,
8134,2003,Deacons for Defense,78,7.0,Bill Duke,Michael D'Antonio-Richard Wesley-Frank Military,,Drama
8135,1955,The End of the Affair,105,6.7,Edward Dmytryk,Graham Greene-Lenore J. Coffee,Coronado Productions,Drama-Romance
8136,2000,BoyFriends,,,,,,
8137,1968,Lost in Space: Season 3: Vol. 2,,,,,,
8138,2004,Fleetwood Mac: Live in Boston,142,8.7,Joe Thomas,,HD Ready-WTTW National Productions,Documentary-Music
8139,2002,The Best of the Bachelor,,,,,,
8140,1997,Hercules: The Legendary Journeys: Season 4,,,,,,
8141,1985,Stephen King's Cat's Eye,94,6.3,Lewis Teague,Stephen King,Dino De Laurentiis Company-Famous Films (II)-International Film Corporation,Comedy-Horror-Thriller
8142,2003,Pat Metheny: Speaking of Now: Live,135,8.9,Takayuki Watanabe,,,Music
8143,1940,The Mark of Zorro,94,7.6,Rouben Mamoulian,John Taintor Foote-Garrett Fort-Bess Meredyth,Twentieth Century Fox,Action-Adventure-Romance-Western
8144,2004,Shawn Michaels: Boyhood Dream,,6.3,Kevin Dunn,,World Wrestling Entertainment (WWE),Action-Biography-Game-Show-Reality-TV-Sport
8145,2004,Girlfriend,126,3.3,Karan Razdan,Karan Razdan,,Drama
8146,1998,The Land Before Time VI: The Secret of Saurus Rock,77,5.9,Charles Grosvenor,Libby Hinson-John Loy-Judy Freudberg,Amblimation-Don Bluth-DreamWorks-Lucasfilm-Pacific Data Images-Universal Cartoon Studios,Animation-Adventure-Family-Musical
8147,2000,The Immortal,60,5.0,,Rick Drew-Will Dixon-Jim Henshaw,Immortal Productions Inc.-Peace Arch Entertainment Group,Action-Horror-Thriller
8148,1990,I Love You to Death,97,6.4,Lawrence Kasdan,John Kostmayer,Chestnut Hill Productions-TriStar Pictures,Comedy-Crime
8149,2002,Roger Dodger,106,7.0,Dylan Kidd,Dylan Kidd,Holedigger Films-Roger Dodger LLC,Comedy-Drama
8150,1937,Alfred Hitchcock: Young & Innocent / The Cheney Vase,,,,,,
8151,1998,Depeche Mode: The Videos '86-'98,,,,,,
8152,1983,Strange Invaders,92,5.5,Michael Laughlin,Bill Condon-Michael Laughlin-Bill Condon,EMI Films-Lone Wolf McQuade Associates,Horror-Mystery-Sci-Fi
8153,1999,The Coroner,74,2.8,Juan Mas-Alan Smithee,Geralyn Ruane,,Horror
8154,1964,The Misadventures of Merlin Jones,91,6.4,Robert Stevenson,Bill Walsh-Alfred Lewis Levitt-Helen Levitt,Walt Disney Productions,Family-Comedy-Sci-Fi
8155,1978,The Mayor of Casterbridge,350,8.3,David Giles,Thomas Hardy-Dennis Potter,British Broadcasting Corporation,Drama
8156,1990,Leatherface: The Texas Chainsaw Massacre III,85,5.2,Jeff Burr,Kim Henkel-Tobe Hooper-David J. Schow,Nicolas Entertainment,Horror-Thriller
8157,2000,Call to Witness,59,6.8,Pam Walton,,Pam Walton Productions,Documentary
8158,1989,Skin Deep,97,6.1,Blake Edwards,Blake Edwards,Beco Films-Morgan Creek Entertainment,Comedy-Drama-Romance
8159,1977,Annie Hall,93,8.0,Woody Allen,Woody Allen-Marshall Brickman,Jack Rollins & Charles H. Joffe Productions-Rollins-Joffe Productions,Comedy-Romance
8160,2002,Halloween: Resurrection,94,4.1,Rick Rosenthal,Debra Hill-John Carpenter-Larry Brand,Dimension Films-Nightfall Productions-Trancas International Films,Horror-Thriller
8161,2004,Helter Skelter: Director's Cut,180,6.4,John Gray,Vincent Bugliosi-Curt Gentry-John Gray,Lakeside Productions-Wolper Organization-Warner Bros. Television,Biography-Crime-Drama-History-Horror-Thriller
8162,1996,Get on the Bus,120,6.8,Spike Lee,Reggie Rock Bythewood,Columbia Pictures-15 Black Men-40 Acres & A Mule Filmworks,Drama-History
8163,2004,Two Brothers,109,7.1,Jean-Jacques Annaud,Alain Godard-Jean-Jacques Annaud-Jean-Jacques Annaud,Pathé-Pathé Renn Productions-Two Brothers Productions-TF1 Films Production-Canal+-Allied Filmmakers,Adventure-Drama-Family
8164,2000,Epicenter,102,3.2,Richard Pepin,Gregg McBride,Media Pro Pictures-PM Entertainment Group,Action-Adventure-Crime-Drama-Romance-Sci-Fi-Thriller
8165,2005,Dot the I,35,,Flavio Sciolè,Flavio Sciolè,,Short
8166,1985,The Care Bears Movie,77,5.6,Arna Selznick,Peter Sauder,Nelvana-American Greetings Corporation-General Mills-Kenner Parker Toys-LBS Communications,Animation-Adventure-Comedy-Family-Fantasy-Musical
8167,2002,The Twilight Zone: Season 1,,,,,,
8168,1956,Friendly Persuasion,137,7.5,William Wyler,Jessamyn West-Jessamyn West-Michael Wilson,Allied Artists Pictures-B-M Productions,Drama-Romance-War-Western
8169,2000,Esther Kahn,142,6.7,Arnaud Desplechin,Emmanuel Bourdieu-Arnaud Desplechin-Arthur Symons,Arts Council of England-British Screen Productions-British Sky Broadcasting-France 2 Cinéma-France 3 Cinéma-Les Films Alain Sarde-Why Not Productions-Zephyr Films,Drama-Romance
8170,1979,Fascination,80,6.1,Jean Rollin,Jean Rollin,Comex-Films A.B.C.,Horror
8171,1995,Boys on the Side,115,6.4,Herbert Ross,Don Roos,Alcor Films-Canal+-Hera Productions-New Regency Pictures-Regency Enterprises,Comedy-Drama
8172,1999,Oklahoma!,180,7.9,Trevor Nunn,Oscar Hammerstein II-Lynn Riggs,,Musical-Romance-Western
8173,1979,Buck Rogers in the 25th Century: The Complete Epic Series,,,,,,
8174,2001,Bully,108,7.0,Larry Clark,Jim Schutze-David McKenna-Roger Pullis,StudioCanal-Lions Gate Films-Muse Productions-Blacklist Films-Gravity Entertainment,Biography-Crime-Drama
8175,1964,The Twilight Zone: Vol. 28,,,,,,
8176,1997,The Locusts,124,6.2,John Patrick Kelley,John Patrick Kelley,Motion Picture Corporation of America-Orion Pictures-Renegade Films,Drama
8177,1988,Gorillas in the Mist,129,7.0,Michael Apted,Harold T.P. Hayes-Dian Fossey-Anna Hamilton Phelan,Universal Pictures-Warner Bros.-The Guber-Peters Company,Biography-Drama
8178,1997,Breakdown,93,6.9,Jonathan Mostow,Jonathan Mostow-Jonathan Mostow-Sam Montgomery,Dino De Laurentiis Company-Paramount Pictures-Spelling Films,Action-Crime-Drama-Mystery-Thriller
8179,1996,Slaves to the Underground,,,,,,
8180,1993,Warlock: The Armageddon,98,5.4,Anthony Hickox,David Twohy-Kevin Rock-Kevin Rock,Trimark Pictures-Tapestry Films,Action-Fantasy-Horror-Thriller
8181,1995,The Net,114,5.9,Irwin Winkler,John Brancato-Michael Ferris,Columbia Pictures-Winkler Films,Action-Crime-Drama-Mystery-Thriller
8182,1998,In Heaven as it is on Earth,100,6.9,Jacek Bromski,Tadeusz Chmielewski,Komitet Kinematografii-Studio Filmowe Oko-Telewizja Polska,Comedy
8183,1967,I Am Curious: Blue,,,,,,
8184,1972,Female Convict Scorpion: Jailhouse 41,90,7.2,Shun'ya Itô,Shun'ya Itô-Fumio Kônami-Hirô Matsuda,Toei Company,Crime-Drama-Thriller
8185,2001,Final Fantasy Unlimited,,6.3,,,Gonzo-Square Company,Animation-Adventure-Fantasy-Romance
8186,1963,The Twilight Zone: Vol. 21,,,,,,
8187,1999,SpongeBob SquarePants: The Seascape Capers,,,,,,
8188,1994,He's a Woman,107,7.3,Peter Ho-Sun Chan-Chi Lee,Peter Ho-Sun Chan-Leslie Cheung-Clarence Hui,United Filmmakers Organization,Comedy-Drama-Romance
8189,1996,Stealing Beauty,118,6.6,Bernardo Bertolucci,Bernardo Bertolucci-Susan Minot,Fiction-France 2 Cinéma-Jeremy Thomas Productions-Recorded Picture Company-Union Générale Cinématographique,Drama-Mystery-Romance
8190,1960,Butterfield 8,109,6.4,Daniel Mann,John O'Hara-Charles Schnee-John Michael Hayes,Afton-Linebrook,Drama
8191,1998,Horatio Hornblower,93,8.2,Andrew Grieve,C.S. Forester-Russell Lewis,A&E Television Networks-Celtic Films-Ecou Films-Meridian Broadcasting-United Film and Television Productions,Adventure-Drama-War
8192,2001,All Over the Guy,95,6.5,Julie Davis,Dan Bucatinsky,,Comedy-Romance
8193,2000,Pray for Power,,,,,,
8194,2002,Madison,,,,,,
8195,1998,Lust for Frankenstein,82,3.3,Jesús Franco,Kevin Collins-Jesús Franco,One Shot Productions,Horror
8196,2004,Annahat,,,,,,
8197,2004,Deadwood: Season 1,,,,,,
8198,2002,Smothered,93,8.4,Maureen Muldaur,Maureen Muldaur,Muldaur Media Ltd.,Documentary
8199,1985,The Purple Rose of Cairo,82,7.7,Woody Allen,Woody Allen,Jack Rollins & Charles H. Joffe Productions-Orion Pictures,Comedy-Fantasy-Romance
8200,2000,The Right Temptation,95,5.4,Lyndon Chubbuck,Larry Brand,Award Entertainment-Tempting Productions Inc.,Drama-Romance-Thriller
8201,2003,Final Examination,98,3.0,Fred Olen Ray,Sean O'Bannon-Kimberly A. Ray,Epsilon Motion Pictures-Franchise Pictures-Hawaii Filmwerks-Royal Oaks Entertainment Inc.,Horror-Thriller
8202,1999,The Last Marshal,102,5.3,Mike Kirton,Mike Kirton-Mike Kirton-Scott Wiper,Filmtown Entertainment-Jindo Entertainment-Newman/Tooley Films,Action-Thriller
8203,1975,The Best of Baretta,,,,,,
8204,1981,Das Boot,149,8.4,Wolfgang Petersen,Wolfgang Petersen-Lothar G. Buchheim,Bavaria Film-Radiant Film GmbH-Süddeutscher Rundfunk-Twin Bros. Productions-Westdeutscher Rundfunk,Adventure-Drama-Thriller-War
8205,1996,Strip for Action,81,3.8,Lev L. Spiro,Lev L. Spiro,,Action
8206,1995,All Things Fair,130,7.0,Bo Widerberg,Bo Widerberg,Per Holst Filmproduktion-Det Danske Filminstitut-Nordisk Film- & TV-Fond-Svenska Filminstitutet (SFI)-Egmont Film-TV2 Danmark-SVT Drama-The European Script Fund,Drama-Romance-War
8207,2001,Discovering Egypt,,,,,,
8208,1949,The Red Pony,89,6.4,Lewis Milestone,John Steinbeck-John Steinbeck,Republic Pictures-Lewis Milestone Productions-Chas. K. Feldman Group Productions Inc.,Drama-Family-Western
8209,2004,Pablo Francisco: Bits and Pieces,50,8.0,Shawn Amos,Pablo Francisco,Captured Live Productions,Comedy
8210,2005,Constantine: Bonus Material,,,,,,
8211,2004,Penn & Teller: Bullsh*t!: Season 2,,,,,,
8212,1999,Contract Killer,,,,,,
8213,2000,Gundam Wing,,,,,,
8214,2004,Wing Chun: Fighting Art,,,,,,
8215,1996,Spy Hard,81,5.3,Rick Friedberg,Jason Friedberg-Aaron Seltzer-Rick Friedberg,Hollywood Pictures,Action-Comedy
8216,2003,Dummy,,,,,,
8217,1974,The Groove Tube,75,5.9,Ken Shapiro,Rich Allen-Lane Sarasohn-Ken Shapiro,K.S. Productions-Syn-Frank Enterprises-Zeta,Comedy
8218,2000,Elton John: One Night Only: The Greatest Hits Live,,,,,,
8219,1988,Clean and Sober,124,6.7,Glenn Gordon Caron,Tod Carroll,Imagine Films Entertainment-Warner Bros.,Drama
8220,1930,Jack Benny Collection,,,,,,
8221,1995,The Perez Family,113,6.1,Mira Nair,Christine Bell-Robin Swicord,The Samuel Goldwyn Company,Comedy-Romance-Drama
