id,year,title,Runtime,Rating,Directors,Writers,Production companies,Genres,rated
108,2004.0,Spartan,106.0,6.6,David Mamet,David Mamet,Franchise Pictures-ApolloMedia Distribution-ApolloProMedia GmbH & Co. 1. Filmproduktion KG (I)-QI Quality International GmbH & Co. KG-Signature Pictures-Art Linson Productions-Epsilon Motion Pictures-Linson Entertainment-Spartan Productions,Action-Crime-Drama-Mystery-Thriller,
109,1996.0,No Way Back,,,,,,,
110,1989.0,Scandal,115.0,6.5,Michael Caton-Jones,Michael Thomas,British Screen Productions-Palace Pictures,Drama-History,
111,2003.0,Duplex (Widescreen),,,,,,,
112,1993.0,The Eye of Vichy,110.0,7.3,Claude Chabrol,Jean-Pierre Azéma-Robert O. Paxton,Canal+-Centre National de la Cinématographie (CNC)-Délégation à la Mémoire et à l'Information Historique-FIT Productions-Institut National de l'Audiovisuel-La Sofica Bymages-Ministre de la Culture et de l'Éducation Nationale-Secrétariat d'État aux Anciens Combattants et Victimes de Guerre-Sylicone-TF1 Films Production,Documentary-War,
113,2000.0,Bruce Lee: A Warrior's Journey,100.0,8.1,John Little-Bruce Lee,Bruce Lee-John Little-Bey Logan,Concord Productions-Warner Bros.,Documentary-Action-Biography,
114,1989.0,Dominion Tank Police Part 1 & 2,,,,,,,
115,1973.0,Lord Peter Wimsey: Murder Must Advertise,,8.2,Rodney Bennett,Bill Craig-Dorothy L. Sayers,British Broadcasting Corporation,Mystery,
116,2004.0,Bear Cub,100.0,7.2,Miguel Albaladejo,Miguel Albaladejo-Salvador García Ruiz,Canal+ España-Generalitat Valenciana-Hispanocine Producciones Cinematográficas-Institut Valencià de Cinematografia-Star Line TV Productions S.L.-TeleMadrid-Televisión Española,Comedy-Drama,
117,1957.0,Silk Stockings,117.0,6.9,Rouben Mamoulian,Leonard Gershe-Leonard Spigelgass-Melchior Lengyel,Metro-Goldwyn-Mayer (MGM),Comedy-Musical-Romance,
118,1985.0,Rambo: First Blood Part II,96.0,6.5,George P. Cosmatos,David Morrell-Kevin Jarre-Sylvester Stallone,Estudios Churubusco Azteca S.A.-Anabasis N.V.,Action-Adventure-Thriller-War,
119,1999.0,Travel the World by Train: Africa,60.0,,Graham Loveridge,,EFP,Documentary,
120,2004.0,Plain Dirty,,,,,,,
121,2003.0,Beyonce: Live at Wembley,,,,,,,
122,2002.0,Cube 2: Hypercube,94.0,5.6,Andrzej Sekula,Sean Hood-Sean Hood-Ernie Barbarash,Ghost Logic-Lions Gate Films,Drama-Mystery-Sci-Fi-Thriller,
123,2000.0,Chain of Fools,98.0,6.1,Pontus Löwenhielm-Patrick von Krusenstjerna,Bix Skahill,Bel Air Entertainment-City Block Productions-Lord-Weaver-Shiny Productions,Comedy-Crime,
124,2000.0,Cold Blooded,97.0,4.9,Randy Bradshaw,Ian Adams,"Alberta Filmworks-Bradshaw, MacLeod and Associates Ltd.",Crime-Drama-Thriller,
125,1981.0,Nighthawks,99.0,6.4,Bruce Malmuth-Gary Nelson,David Shaber-David Shaber-Paul Sylbert,Universal Pictures-Martin Poll Productions-The Production Company-Herb Nanas Productions-Layton Productions,Action-Crime-Thriller,
126,2003.0,Vampire Effect (aka Twins Effect),,,,,,,
127,1987.0,Fatal Beauty,104.0,5.4,Tom Holland,Bill Svanoe-Hilary Henkin-Dean Riesner,Metro-Goldwyn-Mayer (MGM)-CST Telecommunications,Action-Comedy-Crime-Drama-Thriller,
128,1985.0,Mr. Vampire,96.0,7.6,Ricky Lau,Ricky Lau-Cheuk-Hon Szeto-Barry Wong,Bo Ho Film Company Ltd.-Golden Harvest Company-Toho-Towa,Action-Comedy-Fantasy-Horror,
129,2003.0,Darkwolf,94.0,2.8,Richard Friedman,Geoffrey Alan Holliday-Chuck Scholl-Geoffrey Alan Holliday,DarkWolf Picture Company LLC-Twentieth Century Fox,Horror,
130,1999.0,Drowning on Dry Land,88.0,5.4,Carl Colpaert,Julie Jacobs-Julie Jacobs-Sheila Nayar,"Cineville-Drowning on Dry Land, Llc.-Unapix Entertainment Productions",Drama,
131,2002.0,Arachnid,,,,,,,
132,1981.0,Lucio Fulci: The Beyond,,,,,,,
133,2003.0,Viva La Bam: Season 1,,,,,,,
134,1996.0,Spirit Lost,90.0,4.5,Neema Barnette,Joyce Renee Lewis-Shirley Pierce-Nancy Thayer,The Black Entertainment Network-United Image Entertainment,Drama,
135,1998.0,GTO: Great Teacher Onizuka: Set 2,60.0,8.5,,Tôru Fujisawa-Kazuhiko Yukawa,Fuji Television Network-Kansai Telecasting,Drama-Comedy-Action-Adventure,
136,1927.0,Cat and the Canary,108.0,7.2,Paul Leni,John Willard-Robert F. Hill-Alfred A. Cohn,Universal Pictures,Comedy-Horror-Mystery,
137,1998.0,Naked Lies,93.0,3.2,Ralph E. Portillo,D. Alvelo-Jalee Bailey-Michael Edwards,Hemisferio Films-Magic Hour Pictures,Action-Crime-Drama-Thriller,
138,1995.0,Star Trek: Voyager: Season 1,,,,,,,
139,2001.0,Allergies: A Natural Approach,,,,,,,
140,1993.0,Lost in the Wild,87.0,4.8,Larry Shaw,Andrew Laskos-Norman Morrill-Andrew Laskos,Cosgrove/Meurer Productions-World International Network,Adventure-Drama,
141,2004.0,Goddess of Mercy,,,,,,,
142,2000.0,The Tricky Master,,,,,,,
143,1997.0,The Game,129.0,7.8,David Fincher,John Brancato-Michael Ferris,"Polygram Filmed Entertainment-Propaganda Films-A&B Producoes, Lda.",Drama-Mystery-Thriller,
144,2000.0,Deepak Chopra: The Way of the Wizard & Alchemy,,,,,,,
145,1978.0,Get Out Your Handkerchiefs,108.0,6.9,Bertrand Blier,Bertrand Blier,Belga Films-C.A.P.A.C.-Les Films Ariane-SODEP,Comedy-Drama-Romance,
146,1988.0,Cannibal Women in the Avocado Jungle of Death,,,,,,,
147,1992.0,Where Sleeping Dogs Lie,,,,,,,
148,2001.0,Sweet November,119.0,6.7,Pat O'Connor,Herman Raucher-Paul Yurick-Kurt Voelker,Warner Bros.-Bel Air Entertainment-3 Arts Entertainment,Drama-Romance,
149,2005.0,The Edward R. Murrow Collection,,,,,,,
150,2001.0,Firetrap,97.0,5.3,Harris Done,Diane Fine-Richard Preston Jr.,City Heat Productions,Action-Crime,
151,2005.0,Sleepover Nightmare,81.0,3.4,Boon Collins,Boon Collins,,Horror,
152,1995.0,A Little Princess,97.0,7.7,Alfonso Cuarón,Frances Hodgson Burnett-Richard LaGravenese-Elizabeth Chandler,Warner Bros.-Mark Johnson Productions-Baltimore Pictures,Drama-Family-Fantasy,
153,2002.0,MTV Yoga,,,,,,,
154,2000.0,Demon Warrior Koji,,,,,,,
155,1975.0,The Strongest Man in the World,92.0,6.1,Vincent McEveety,Joseph L. McEveety-Herman Groves,Walt Disney Productions,Comedy-Family-Sci-Fi,
156,1992.0,Husbands and Wives,108.0,7.6,Woody Allen,Woody Allen,Jack Rollins & Charles H. Joffe Productions-TriStar Pictures,Comedy-Drama-Romance,
157,2004.0,Laird: White Knuckle Extreme,,,,,,,
158,2004.0,A Killer Within,110.0,5.0,Brad Keller,Keith Kjornes-Chris Peirson-William Peirson,Fireside Entertainment-FilmCor Pictures LLC,Thriller-Drama,
159,1971.0,Gentlemen of Fortune,88.0,8.5,Aleksandr Sery,Georgiy Daneliya-Viktoriya Tokareva,Mosfilm,Comedy-Crime-Drama-Mystery,
160,2000.0,Gormenghast,232.0,7.5,Andy Wilson,Malcolm McKay-Mervyn Peake,British Broadcasting Corporation-WGBH,Adventure-Comedy-Drama-Fantasy-Mystery,
161,1939.0,Ninotchka,110.0,8.0,Ernst Lubitsch,Charles Brackett-Billy Wilder-Walter Reisch,Metro-Goldwyn-Mayer (MGM),Comedy-Romance,
162,1968.0,John Cleese on How to Irritate People,,,,,,,
163,2002.0,MTV: Making the Band 2: Best of Season 1,,,,,,,
164,2003.0,One Last Dance,101.0,5.7,Lisa Niemi,Kevin Bernhardt-Lisa Niemi,Minds Eye Entertainment-Without Word Inc.,Drama-Romance,
165,1982.0,Richard Pryor: Live on the Sunset Strip,82.0,7.7,Joe Layton,Paul Mooney-Richard Pryor,Columbia Pictures-Rastar Pictures,Documentary-Comedy,
166,1980.0,Fame,134.0,6.6,Alan Parker,Christopher Gore,Metro-Goldwyn-Mayer (MGM),Drama-Music-Musical,
167,2004.0,The Chorus,97.0,7.9,Christophe Barratier,Georges Chaperot-René Wheeler-René Wheeler,Vega Film-Banque Populaire Images 4-CP Medien AG-Canal+-Centre National de la Cinématographie-Dan Valley Film AG-France 2 Cinéma-Galatée Films-Novo Arturo Films-Pathé Renn Productions-Procirep,Drama-Music,
168,1983.0,Smokey and the Bandit Part 3,85.0,3.4,Dick Lowry,Stuart Birnbaum-David Dashev,Universal Pictures,Comedy-Crime,
169,2004.0,Cartoon Network Halloween: 9 Creepy Cartoon Capers,,,,,,,
170,1972.0,Tomorrow,103.0,7.7,Joseph Anthony,William Faulkner-Horton Foote-Horton Foote,Filmgroup Productions,Drama,
171,1957.0,Funny Face,103.0,7.1,Stanley Donen,Leonard Gershe,Paramount Pictures,Comedy-Musical-Romance,
172,2003.0,Jack,,,,,,,
173,1968.0,The Devil's Brigade,130.0,6.8,Andrew V. McLaglen,William Roberts-Robert H. Adleman-George Walton,Wolper Pictures,Action-Drama-War,
174,1968.0,Adam-12: Season 1,,,,,,,
175,1992.0,Reservoir Dogs,99.0,8.3,Quentin Tarantino,Quentin Tarantino-Quentin Tarantino-Roger Avary,Live Entertainment-Dog Eat Dog Productions Inc.,Crime-Drama-Thriller,
176,2004.0,The History Channel Presents: Troy: Unearthing the Legend,,,,,,,
177,2002.0,Pressure,90.0,5.9,Richard Gale,Richard Gale-Craig Brewer-Richard Gale,Curb Entertainment-Front Street Productions-Front Street Pictures,Action-Thriller,
178,1996.0,Regular Guys,102.0,6.9,Rolf Silber,Rolf Silber-Rudolf Bergmann,Bayerischer Rundfunk-Cobra Film GmbH,Comedy-Crime-Romance,
179,2003.0,Bollywood Bound,,,,,,,
180,2002.0,Scratch,,,,,,,
181,2004.0,The Last Shot,93.0,5.7,Jeff Nathanson,Steve Fishman-Jeff Nathanson,"Morra, Brezner, Steinberg and Tenenbaum Entertainment-Mandeville Films-Burro Productions-High Arc Productions-Touchstone Pictures",Comedy-Romance,
182,2001.0,Moby: Play,166.0,8.1,Fredrik Bond-Nicholas Brandt-Roman Coppola,,Rave New World-V2-V2 Records,Music,
183,2005.0,IFilm: Deranged,,,,,,,
184,2004.0,Billy Blanks: Tae Bo: Cardio Circuit 1,,,,,,,
185,1985.0,Missing in Action 2: The Beginning / Missing in Action 3: Braddock,,,,,,,
186,1950.0,Panic in the Streets,96.0,7.3,Elia Kazan,Richard Murphy-Daniel Fuchs-Edna Anhalt,Twentieth Century Fox,Crime-Drama-Film-Noir-Thriller,
187,2002.0,Death to Smoochy,109.0,6.4,Danny DeVito,Adam Resnick,Warner Bros.-FilmFour-Senator Film Produktion-Mad Chance-Jersey Films,Comedy-Crime-Drama-Thriller,
188,2005.0,Dead Birds,27.0,6.5,Joshua Kopple,,Silver Nitrate Pictures,Documentary-Short,
189,1982.0,Airplane II: The Sequel,85.0,6.1,Ken Finkleman,Ken Finkleman-Al Jean-Mike Reiss,Paramount Pictures-Howard W. Koch Productions,Comedy-Sci-Fi,
190,1989.0,Blood and Sand,113.0,4.7,Javier Elorrieta,Rafael Azcona-Vicente Blasco Ibáñez-Ricardo Franco,José Frade Producciones Cinematográficas S.A.-Twentieth Century Fox,Drama-Romance,
191,2003.0,X2: X-Men United,134.0,7.5,Bryan Singer,Zak Penn-David Hayter-Bryan Singer,Twentieth Century Fox-Marvel Enterprises-Donners' Company-Bad Hat Harry Productions-XF2 Canada Productions-XM2 Productions,Action-Adventure-Sci-Fi-Thriller,
192,2003.0,The SoulTaker,,,,,,,
193,2005.0,Marilyn Manson: Fear of a Satanic Planet,86.0,6.8,Tom Barber,,Chrome Dreams Media,Documentary,
194,1996.0,Arliss: The Best of Arliss,,,,,,,
195,2004.0,Chasing Freedom,88.0,6.7,Don McBrearty,Barbara Samuels,Blueprint Entertainment-Alberta Filmworks,Drama,
196,1992.0,Peter Tosh: Stepping Razor: Red X,103.0,7.7,Nicholas Campbell,Nicholas Campbell,Bush Doctor Films,Documentary,
197,2004.0,Taking Lives,103.0,6.2,D.J. Caruso,Michael Pye-Jon Bokenkamp-Jon Bokenkamp,Warner Bros.-Village Roadshow Pictures-Atmosphere Entertainment MM,Crime-Mystery-Thriller,
198,1997.0,Gupt,173.0,7.4,Rajiv Rai,Shabbir Boxwala-Rajiv Rai-Rajiv Rai,Trimurti Films Pvt. Ltd.,Action-Crime-Drama-Musical-Thriller,
199,1978.0,The Deer Hunter,183.0,8.1,Michael Cimino,Michael Cimino-Deric Washburn-Louis Garfinkle,EMI Films-Universal Pictures,Drama-War,
200,1964.0,The Fall of the Roman Empire,188.0,6.7,Anthony Mann,Ben Barzman-Basilio Franchina-Philip Yordan,Samuel Bronston Productions,Drama-History-War,
201,2001.0,Home Movie,66.0,7.1,Chris Smith,,Bluemark Productions-Homestore.com Inc.-Independent Media-TBWA\CHIAT\DAY,Documentary,
202,2001.0,Ruby's Bucket of Blood,95.0,5.7,Peter Werner,Julie Hébert-Julie Hébert,,Drama-Music,
203,1997.0,Sports Illustrated Swimsuit Edition: 1997,,,,,,,
204,2002.0,Venus Boyz,102.0,4.9,Gabriel Baur,Gabriel Baur,Clockwise Productions-ONIX Filmproduction-Teleclub AG-Westdeutscher Rundfunk,Documentary,
205,2004.0,Troy: Bonus Material,,,,,Disney Channel,Short-Family,
206,2004.0,Unconstitutional: The War on Our Civil Liberties,66.0,7.9,Nonny de la Peña,Nonny de la Peña,Public Interest Pictures,Documentary,
207,2001.0,Denise Austin: Ultimate Fat Burner,,,,,,,
208,1947.0,The Three Stooges: Sing a Song of Six Pants,,,,,,,
209,1996.0,Star Trek: Deep Space Nine: Season 5,,7.9,,Ken Eklund-Sarah W. Stocker,Stormfront Studios,Action-Adventure-Sci-Fi,
